cue_id,term,cue_type,priority,required_context,forbidden_context,source_type,source_reference,review_status,notes
null_052,comparable improvement to control,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Improvement is not superior to control
null_053,similar improvement to placebo,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Improvement is not superior to placebo
null_054,similar improvement to vehicle,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Improvement is not superior to vehicle
null_055,similar improvement to control,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Improvement is not superior to control
null_056,no significant decrease,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Decrease is statistically null
null_057,not improved,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit null improvement
null_058,was not improved,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit null improvement
null_059,not significantly decreased,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Decrease is statistically null
null_060,not significantly improved,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Improvement is statistically null
null_061,no significant effect,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Effect is statistically null
null_062,no significant benefit,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Benefit is statistically null
null_063,showed no significant,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Reported result is statistically null
null_064,was not significantly different,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No supported difference
null_065,not superior to placebo,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated superiority to placebo
null_066,not superior to vehicle,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated superiority to vehicle
null_067,not superior to control,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,No demonstrated superiority to control
null_068,absence of improvement,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit absence of improvement
null_069,lacked improvement,null,100,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit absence of improvement
null_070,not significant,null,100,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Reported result is statistically null
uncertain_001,trend toward,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged trend
uncertain_002,trend towards,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged trend
uncertain_003,tended to,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged trend
uncertain_004,tendency toward,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged trend
uncertain_005,tendency towards,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged trend
uncertain_006,may improve,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged improvement
uncertain_007,may reduce,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged reduction
uncertain_008,may decrease,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged decrease
uncertain_009,may increase,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged increase
uncertain_010,might improve,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged improvement
uncertain_011,might reduce,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged reduction
uncertain_012,might decrease,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged decrease
uncertain_013,might increase,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged increase
uncertain_014,could improve,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged improvement
uncertain_015,could reduce,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged reduction
uncertain_016,could decrease,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged decrease
uncertain_017,could increase,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged increase
uncertain_018,appeared to,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged observation
uncertain_019,appears to,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged observation
uncertain_020,suggestive of,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged interpretation
uncertain_021,inconclusive,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit uncertainty
uncertain_022,insufficient evidence,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit uncertainty
uncertain_023,more evidence is needed,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit uncertainty
uncertain_024,further studies are needed,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit uncertainty
uncertain_025,requires further study,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Explicit uncertainty
uncertain_026,decreasing trend,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Directional trend without firm support
uncertain_027,increasing trend,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Directional trend without firm support
uncertain_028,downward trend,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Directional trend without firm support
uncertain_029,upward trend,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Directional trend without firm support
uncertain_030,trend to decrease,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Directional trend without firm support
uncertain_031,trend to increase,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Directional trend without firm support
uncertain_032,tendency to decrease,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Directional tendency without firm support
uncertain_033,tendency to increase,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Directional tendency without firm support
uncertain_034,may be lower,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged lower comparison
uncertain_035,may be higher,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged higher comparison
uncertain_036,might be lower,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged lower comparison
uncertain_037,might be higher,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged higher comparison
uncertain_038,could be lower,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged lower comparison
uncertain_039,could be higher,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged higher comparison
uncertain_040,suggested,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged interpretation
uncertain_041,suggests,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged interpretation
uncertain_042,possibly,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged possibility
uncertain_043,potentially,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged possibility
uncertain_044,borderline significance,uncertain,95,,,internal_statistical_policy,POLICY:effect-direction-v1,approved,Borderline statistical support
uncertain_045,suggest,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged interpretation
uncertain_046,suggesting,uncertain,95,,,internal_language_policy,POLICY:effect-direction-v1,approved,Hedged interpretation
