product_id,brand,product_name,category,review_count,avg_rating,repurchase_rate,photo_review_rate,profile_review_rate,review_confidence,review_signal_score,rating_signal_score,repurchase_signal_score,confidence_signal_score,review_signal_reason
prod_oy_a000000206904,라로슈포제,라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),cream,8125,4.780,0.0474,0.1452,0.3014,high,62.86,89.00,4.74,100.00,"평균별점 4.780, 리뷰 8125건, 재구매율 0.0474, 프로필라벨율 0.3014"
prod_oy_a000000243074,라네즈,[속보습/화잘먹] 라네즈 크림스킨 170ml 기획,toner,7993,4.807,0.0764,0.1426,0.3029,high,64.16,90.35,7.64,100.00,"평균별점 4.807, 리뷰 7993건, 재구매율 0.0764, 프로필라벨율 0.3029"
prod_oy_a000000200646,브링그린,[7월올영픽/3일진정세럼]브링그린 징크테카 트러블 세럼 (대용량/기획),serum,7771,4.688,0.1026,0.1036,0.3086,high,61.05,84.40,10.26,100.00,"평균별점 4.688, 리뷰 7771건, 재구매율 0.1026, 프로필라벨율 0.3086"
prod_oy_a000000219751,라운드랩,[집중진정] 라운드랩 소나무 진정 시카 앰플 30ml 기획 (+토너 20ml),serum,7388,4.765,0.1226,0.1079,0.2903,high,63.52,88.25,12.26,100.00,"평균별점 4.765, 리뷰 7388건, 재구매율 0.1226, 프로필라벨율 0.2903"
prod_oy_a000000156230,에스네이처,[1등 모공 수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획(60ml+30ml),cream,7343,4.741,0.1272,0.1301,0.3061,high,63.25,87.05,12.72,100.00,"평균별점 4.741, 리뷰 7343건, 재구매율 0.1272, 프로필라벨율 0.3061"
prod_oy_a000000219716,파티온,[단독기획/5겹장벽크림] 파티온 노스카나인 트러블 크림 45ml 기획(+5ml+세럼 5ml),cream,7151,4.789,0.2244,0.1126,0.3134,high,66.38,89.45,22.44,100.00,"평균별점 4.789, 리뷰 7151건, 재구매율 0.2244, 프로필라벨율 0.3134"
prod_oy_a000000226086,바이오더마,바이오더마 하이드라비오 에센스로션 200ml 기획(+안개분사 미스트 증정),serum,7062,4.800,0.0688,0.1024,0.2943,high,63.37,90.00,6.88,100.00,"평균별점 4.800, 리뷰 7062건, 재구매율 0.0688, 프로필라벨율 0.2943"
prod_oy_a000000226553,브링그린,[수부지크림/유수분밸런스] 브링그린 티트리 시카 수딩 크림 플러스 100ml (2입/단품),cream,6962,4.788,0.0750,0.1016,0.2894,high,63.13,89.40,7.50,100.00,"평균별점 4.788, 리뷰 6962건, 재구매율 0.0750, 프로필라벨율 0.2894"
prod_oy_a000000255324,아누아,[수지 PICK/한정기획] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 더블기획 (+피디알엔 마스크 1매),serum,6855,4.761,0.1879,0.1393,0.2740,high,64.95,88.05,18.79,100.00,"평균별점 4.761, 리뷰 6855건, 재구매율 0.1879, 프로필라벨율 0.2740"
prod_oy_a000000189837,넘버즈인,[흔적미백] 넘버즈인 5번 글루타치온C 흔적 앰플 30ml+30ml 듀오기획,serum,6682,4.686,0.1335,0.1420,0.3117,high,62.01,84.30,13.35,100.00,"평균별점 4.686, 리뷰 6682건, 재구매율 0.1335, 프로필라벨율 0.3117"
prod_oy_a000000216511,넘버즈인,[대용량+크림증정] 넘버즈인 1번 판토텐산 수딩세럼 80ml 기획 (+크림 15ml),serum,6321,4.718,0.0930,0.0941,0.3006,high,61.55,85.90,9.30,100.00,"평균별점 4.718, 리뷰 6321건, 재구매율 0.0930, 프로필라벨율 0.3006"
prod_oy_a000000257827,라로슈포제,[7월 올영픽] 라로슈포제 시카플라스트 멀티 리페어 크림 100ml (+시카에센스 7.5ml),cream,6189,4.748,0.0580,0.1341,0.2979,high,62.06,87.40,5.80,100.00,"평균별점 4.748, 리뷰 6189건, 재구매율 0.0580, 프로필라벨율 0.2979"
prod_oy_a000000231894,아누아,[수지세럼] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획세트 (+크림 30ml),serum,5875,4.756,0.1917,0.1300,0.2926,high,64.89,87.80,19.17,100.00,"평균별점 4.756, 리뷰 5875건, 재구매율 0.1917, 프로필라벨율 0.2926"
prod_oy_a000000245636,웰라쥬,[망곰 콜라보] 웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 2입 기획 (+크림 20ml+PVC 파우치),serum,5694,4.863,0.0309,0.1126,0.3070,high,64.51,93.15,3.09,100.00,"평균별점 4.863, 리뷰 5694건, 재구매율 0.0309, 프로필라벨율 0.3070"
prod_oy_a000000157350,디오디너리,[트러블모공] 디오디너리 나이아신아마이드 10% + 징크 1% 30ml,serum,5555,4.536,0.1273,0.1145,0.2992,high,57.43,76.80,12.73,100.00,"평균별점 4.536, 리뷰 5555건, 재구매율 0.1273, 프로필라벨율 0.2992"
prod_oy_a000000203971,셀리맥스,[속보습/속광/진정] 셀리맥스 더 리얼 노니 에너지 앰플 80ml 기획(+10ml),serum,5240,4.776,0.2029,0.1166,0.2275,high,65.20,88.80,20.29,100.00,"평균별점 4.776, 리뷰 5240건, 재구매율 0.2029, 프로필라벨율 0.2275"
prod_oy_a000000235247,웰라쥬,[속건조필수템] 웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 2입 기획 (+마스크1매),serum,5239,4.850,0.0361,0.1103,0.3069,high,64.23,92.50,3.61,100.00,"평균별점 4.850, 리뷰 5239건, 재구매율 0.0361, 프로필라벨율 0.3069"
prod_oy_a000000161508,라운드랩,[대용량] 라운드랩 1025 독도 로션 400ml,lotion,5217,4.787,0.0910,0.1137,0.2293,high,63.25,89.35,9.10,100.00,"평균별점 4.787, 리뷰 5217건, 재구매율 0.0910, 프로필라벨율 0.2293"
prod_oy_a000000224727,메이크프렘,[수분진정/단독기획] 메이크프렘 인테카 수딩크림 70ml 기획(+크림 31ml),cream,5110,4.837,0.2683,0.1616,0.4305,high,69.65,91.85,26.83,100.00,"평균별점 4.837, 리뷰 5110건, 재구매율 0.2683, 프로필라벨율 0.4305"
prod_oy_a000000190395,넘버즈인,[쿨링진정]넘버즈인 1번 진정 맑게담은 청초토너 300ml 리필기획(+300ml 증정),toner,5035,4.801,0.1358,0.0991,0.3217,high,64.84,90.05,13.58,100.00,"평균별점 4.801, 리뷰 5035건, 재구매율 0.1358, 프로필라벨율 0.3217"
prod_oy_a000000242719,차앤박,[탄력콜라겐UP/1+1] 차앤박 더마앤서 액티브 부스트 PDRN 앰플 30ml 더블기획,serum,4912,4.846,0.2186,0.1783,0.4904,high,69.37,92.30,21.86,100.00,"평균별점 4.846, 리뷰 4912건, 재구매율 0.2186, 프로필라벨율 0.4904"
prod_oy_a000000188004,에스네이처,[리뷰이벤트/1등화잘먹물먹세럼] 에스네이처 아쿠아 스쿠알란 세럼 50ml 기획 (+50ml 리필+수분크림 10ml),serum,4606,4.790,0.1520,0.1416,0.3469,high,65.42,89.50,15.20,100.00,"평균별점 4.790, 리뷰 4606건, 재구매율 0.1520, 프로필라벨율 0.3469"
prod_oy_a000000222698,아누아,[수지세럼] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),serum,4600,4.770,0.2098,0.1213,0.3078,high,65.62,88.50,20.98,100.00,"평균별점 4.770, 리뷰 4600건, 재구매율 0.2098, 프로필라벨율 0.3078"
prod_oy_a000000180410,앰플엔,[재구매1위] 앰플엔 세라마이드샷 화잘먹 보습장벽앰플 100ml기획(+10ml),serum,4587,4.780,0.2202,0.1482,0.3013,high,66.34,89.00,22.02,100.00,"평균별점 4.780, 리뷰 4587건, 재구매율 0.2202, 프로필라벨율 0.3013"
prod_oy_a000000222837,에스트라,에스트라 아토베리어365 하이드로에센스 200ml (+크림 10ml+앰플 10ml),serum,4584,4.851,0.1110,0.1361,0.3082,high,66.02,92.55,11.10,100.00,"평균별점 4.851, 리뷰 4584건, 재구매율 0.1110, 프로필라벨율 0.3082"
prod_oy_a000000242720,차앤박,[보습광채/화잘먹앰플] 차앤박 프로폴리스 에너지 액티브 앰플 30ml 2입 기획 (+15ml),serum,4557,4.896,0.2642,0.1319,0.2609,high,70.05,94.80,26.42,100.00,"평균별점 4.896, 리뷰 4557건, 재구매율 0.2642, 프로필라벨율 0.2609"
prod_oy_a000000232436,아비브,아비브 어성초 테카 캡슐 세럼 카밍 드롭 50ml 더블 기획,serum,4509,4.684,0.0945,0.0978,0.2806,high,60.58,84.20,9.45,100.00,"평균별점 4.684, 리뷰 4509건, 재구매율 0.0945, 프로필라벨율 0.2806"
prod_oy_a000000235175,이니스프리,[톤업광채] 이니스프리 비타민C 캡슐 세럼 30ml 기획 (+10ml),serum,4299,4.786,0.2073,0.1789,0.4434,high,67.27,89.30,20.73,100.00,"평균별점 4.786, 리뷰 4299건, 재구매율 0.2073, 프로필라벨율 0.4434"
prod_oy_a000000134691,바이오더마,바이오더마 시카비오 포마드 100ml(리페어 리치 밤),cream,4170,4.763,0.1211,0.1609,0.2782,high,63.90,88.15,12.11,100.00,"평균별점 4.763, 리뷰 4170건, 재구매율 0.1211, 프로필라벨율 0.2782"
prod_oy_a000000259488,파넬,[7월올영픽/최초대용량] 파넬 시카마누 92세럼 50ml 더블기획 (총 100ml),serum,4154,4.706,0.1444,0.1281,0.3187,high,62.68,85.30,14.44,100.00,"평균별점 4.706, 리뷰 4154건, 재구매율 0.1444, 프로필라벨율 0.3187"
prod_oy_a000000158615,디오디너리,[트러블모공] 디오디너리 나이아신아마이드 10% + 징크 1% 60ml,serum,4018,4.708,0.1777,0.1523,0.2882,high,63.49,85.40,17.77,100.00,"평균별점 4.708, 리뷰 4018건, 재구매율 0.1777, 프로필라벨율 0.2882"
prod_oy_a000000244830,아이소이,[망곰 콜라보] 아이소이 모이스춰 닥터 장수진 수분크림 100ml 대용량 기획 (+10ml+맥세이프 카드지갑),cream,3991,4.764,0.0767,0.1366,0.3062,high,62.94,88.20,7.67,100.00,"평균별점 4.764, 리뷰 3991건, 재구매율 0.0767, 프로필라벨율 0.3062"
prod_oy_a000000137180,라운드랩,[1등토너] 라운드랩 1025 독도 토너 500ml 기획 (+100ml),toner,3942,4.823,0.1192,0.1360,0.1951,high,64.85,91.15,11.92,100.00,"평균별점 4.823, 리뷰 3942건, 재구매율 0.1192, 프로필라벨율 0.1951"
prod_oy_a000000225217,더마팩토리,더마팩토리 나이아신아마이드 20% 세럼 30ml,serum,3928,4.732,0.1637,0.1174,0.3483,high,63.82,86.60,16.37,100.00,"평균별점 4.732, 리뷰 3928건, 재구매율 0.1637, 프로필라벨율 0.3483"
prod_oy_a000000224581,빌리프,[7월올영픽/쿨링진정크림] 빌리프 아쿠아밤 프로즌 크림 50ml 1+1 기획 (+손거울 증정),cream,3888,4.860,0.0836,0.1782,0.4823,high,67.02,93.00,8.36,100.00,"평균별점 4.860, 리뷰 3888건, 재구매율 0.0836, 프로필라벨율 0.4823"
prod_oy_a000000004434,바이오더마,바이오더마 하이드라비오 토너 250ml,toner,3886,4.799,0.1264,0.1204,0.2514,high,64.46,89.95,12.64,100.00,"평균별점 4.799, 리뷰 3886건, 재구매율 0.1264, 프로필라벨율 0.2514"
prod_oy_a000000187040,아벤느,[수분 충전]아벤느 이드랑스 에센스-인-로션 200ml 2입기획,serum,3776,4.809,0.1049,0.1319,0.2235,high,64.28,90.45,10.49,100.00,"평균별점 4.809, 리뷰 3776건, 재구매율 0.1049, 프로필라벨율 0.2235"
prod_oy_a000000183713,토리든,[단독기획] 토리든 밸런스풀 시카 진정 크림 80ml 기획 (+세럼 10ml),cream,3586,4.756,0.2091,0.0945,0.2716,high,64.78,87.80,20.91,100.00,"평균별점 4.756, 리뷰 3586건, 재구매율 0.2091, 프로필라벨율 0.2716"
prod_oy_a000000250344,아이오페,[자극도ZERO]아이오페 레티놀 슈퍼 바운스 세럼 20ml 기획 (+15ml),serum,3564,4.823,0.1047,0.1827,0.3499,high,65.80,91.15,10.47,100.00,"평균별점 4.823, 리뷰 3564건, 재구매율 0.1047, 프로필라벨율 0.3499"
prod_oy_a000000184198,아벤느,[손상/장벽 리페어] 아벤느 시칼파트 플러스 SOS 리페어 크림 100ml 2입 기획,cream,3560,4.695,0.0671,0.1306,0.2272,high,60.40,84.75,6.71,100.00,"평균별점 4.695, 리뷰 3560건, 재구매율 0.0671, 프로필라벨율 0.2272"
prod_oy_a000000249211,리얼베리어,[조슈아PICK/1+1] 리얼베리어 익스트림 크림 70ml 1+1 기획,cream,3516,4.845,0.0552,0.1456,0.3521,high,65.06,92.25,5.52,100.00,"평균별점 4.845, 리뷰 3516건, 재구매율 0.0552, 프로필라벨율 0.3521"
prod_oy_a000000212570,바이오더마,바이오더마 시카비오 크림+ 100ml 기획 (크림 + 40ml 본품 추가 증정),cream,3505,4.764,0.0534,0.1158,0.3398,high,62.44,88.20,5.34,100.00,"평균별점 4.764, 리뷰 3505건, 재구매율 0.0534, 프로필라벨율 0.3398"
prod_oy_a000000216509,넘버즈인,[대용량+추가증정] 넘버즈인 1번 판토텐산 액티브 수딩크림 130ml 기획 (+ 크림 15ml),cream,3445,4.695,0.0848,0.0987,0.3257,high,60.92,84.75,8.48,100.00,"평균별점 4.695, 리뷰 3445건, 재구매율 0.0848, 프로필라벨율 0.3257"
prod_oy_a000000236564,아이소이,[대용량/콜라보] 아이소이 모이스춰 닥터 장수진 수분 크림 100ml 기획 (+파우치 증정),cream,3428,4.784,0.0805,0.1380,0.3215,high,63.66,89.20,8.05,100.00,"평균별점 4.784, 리뷰 3428건, 재구매율 0.0805, 프로필라벨율 0.3215"
prod_oy_a000000249803,비플레인,[총100ml 대용량] 비플레인 녹두 모공 타이트업 세럼 50ml 1+1 기획,serum,3230,4.669,0.0954,0.1158,0.3124,high,60.53,83.45,9.54,100.00,"평균별점 4.669, 리뷰 3230건, 재구매율 0.0954, 프로필라벨율 0.3124"
prod_oy_a000000255430,스킨1004,[대용량]스킨1004 마다가스카르 센텔라 앰플 100ml,serum,3162,4.750,0.1907,0.1053,0.2954,high,64.47,87.50,19.07,100.00,"평균별점 4.750, 리뷰 3162건, 재구매율 0.1907, 프로필라벨율 0.2954"
prod_oy_a000000255326,아누아,[수지 PICK/한정기획] 아누아 피디알엔 히알루론산 100 수분 크림 60ml 2입 기획 (+피디알엔 토너 40ml),cream,3113,4.783,0.2107,0.1050,0.2454,high,65.52,89.15,21.07,100.00,"평균별점 4.783, 리뷰 3113건, 재구매율 0.2107, 프로필라벨율 0.2454"
prod_oy_a000000222849,파티온,[속건조해결] 파티온 포도당 하이드로 에센스토너 300ml 더블 기획(2개입),toner,3085,4.909,0.4765,0.1092,0.3475,high,74.86,95.45,47.65,100.00,"평균별점 4.909, 리뷰 3085건, 재구매율 0.4765, 프로필라벨율 0.3475"
prod_oy_a000000231892,아누아,[수지 PICK/단독기획] 아누아 피디알엔 히알루론산 100 수분 크림 60mL 2입,cream,3074,4.782,0.2131,0.1047,0.2463,high,65.55,89.10,21.31,100.00,"평균별점 4.782, 리뷰 3074건, 재구매율 0.2131, 프로필라벨율 0.2463"
prod_oy_a000000238406,믹순,[품절대란/수부지 화잘먹 세럼] 믹순 히알레배 포어 버블 세럼 70ml,serum,3016,4.731,0.1293,0.0905,0.3163,high,62.67,86.55,12.93,100.00,"평균별점 4.731, 리뷰 3016건, 재구매율 0.1293, 프로필라벨율 0.3163"
prod_oy_a000000192405,더하르나이,[1회사용 장벽개선] 더하르나이 시카이드 크림 100ml+30ml 기획,cream,3006,4.802,0.2641,0.1048,0.2858,high,67.31,90.10,26.41,100.00,"평균별점 4.802, 리뷰 3006건, 재구매율 0.2641, 프로필라벨율 0.2858"
prod_oy_a000000211213,빌리프,[수분보습폭탄] 빌리프X바나나킥 모이스춰라이징 밤 30ml 1+1 기획 (+키링파우치) / 아쿠아 밤 30ml 기획,cream,2956,4.891,0.1059,0.1891,0.4753,high,68.39,94.55,10.59,100.00,"평균별점 4.891, 리뷰 2956건, 재구매율 0.1059, 프로필라벨율 0.4753"
prod_oy_a000000245459,바이오더마,바이오더마 하이드라비오 토너 500ml 기획 (+거품 용기),toner,2951,4.849,0.0413,0.1091,0.2979,high,64.25,92.45,4.13,100.00,"평균별점 4.849, 리뷰 2951건, 재구매율 0.0413, 프로필라벨율 0.2979"
prod_oy_a000000177475,프랭클리,[모공임상] 프랭클리 모공축소 클로저 세럼 30ml 앰플,serum,2934,4.647,0.2018,0.1503,0.3170,high,62.42,82.35,20.18,100.00,"평균별점 4.647, 리뷰 2934건, 재구매율 0.2018, 프로필라벨율 0.3170"
prod_oy_a000000198892,센텔리안24,[진정/흔적] 센텔리안24 마데카 크림 타임 리버스 50ml,cream,2928,4.837,0.0837,0.1366,0.3654,high,65.38,91.85,8.37,100.00,"평균별점 4.837, 리뷰 2928건, 재구매율 0.0837, 프로필라벨율 0.3654"
prod_oy_a000000217355,스킨앤랩,[올영단독/장벽회복] 스킨앤랩 베리어덤 인텐시브 크림 2세대 50ml 1+1 기획,cream,2927,4.806,0.1941,0.1315,0.3341,high,66.53,90.30,19.41,100.00,"평균별점 4.806, 리뷰 2927건, 재구매율 0.1941, 프로필라벨율 0.3341"
prod_oy_a000000224292,라로슈포제,라로슈포제 시카플라스트 멀티 리페어 크림 100ml 기획 (+멜라B3 세럼 3ml 증정),cream,2906,4.756,0.0616,0.1356,0.2997,high,62.38,87.80,6.16,100.00,"평균별점 4.756, 리뷰 2906건, 재구매율 0.0616, 프로필라벨율 0.2997"
prod_oy_a000000190691,스킨푸드,[속보습+피부장벽+트러블케어] 스킨푸드 로열허니 프로폴리스 인리치 에센스 리필기획(50ml+50ml),serum,2884,4.829,0.1543,0.1425,0.2607,high,66.11,91.45,15.43,100.00,"평균별점 4.829, 리뷰 2884건, 재구매율 0.1543, 프로필라벨율 0.2607"
prod_oy_a000000230799,오드로이,[모공천재/화잘먹] 오드로이 모공수축 크림 모공요철 케어 100ml 더블기획 (+미스트앰플 30ml),cream,2843,4.608,0.1214,0.1731,0.3588,high,60.17,80.40,12.14,100.00,"평균별점 4.608, 리뷰 2843건, 재구매율 0.1214, 프로필라벨율 0.3588"
prod_oy_a000000231884,웰라쥬,[속건조필수템] 웰라쥬 리얼 히알루로닉 블루 100 앰플 100ml 기획 (+원데이키트2ea),serum,2773,4.843,0.0263,0.1100,0.3285,high,63.95,92.15,2.63,100.00,"평균별점 4.843, 리뷰 2773건, 재구매율 0.0263, 프로필라벨율 0.3285"
prod_oy_a000000231885,웰라쥬,[속건조필수템] 웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 2입 기획,serum,2773,4.843,0.0263,0.1100,0.3285,high,63.95,92.15,2.63,100.00,"평균별점 4.843, 리뷰 2773건, 재구매율 0.0263, 프로필라벨율 0.3285"
prod_oy_a000000214633,코이,[고현정 PICK] 코이 플로우 리프팅 랩핑 크림 50ml 기획 (+미니 크림 10ml 2ea),cream,2645,4.868,0.3599,0.1928,0.5327,high,73.16,93.40,35.99,100.00,"평균별점 4.868, 리뷰 2645건, 재구매율 0.3599, 프로필라벨율 0.5327"
prod_oy_a000000232910,이니스프리,[쫀득속광] 이니스프리 레티놀 그린티 PDRN 앰플 25ml 기획,serum,2618,4.823,0.2426,0.1765,0.4809,high,69.15,91.15,24.26,100.00,"평균별점 4.823, 리뷰 2618건, 재구매율 0.2426, 프로필라벨율 0.4809"
prod_oy_a000000218586,더마토리,[쾌속수분/온라인 단독]더마토리 히알샷 베리어 앰플 비5 100ml 대용량 기획(100ml+10ml),serum,2570,4.825,0.1529,0.1385,0.4319,high,66.79,91.25,15.29,100.00,"평균별점 4.825, 리뷰 2570건, 재구매율 0.1529, 프로필라벨율 0.4319"
prod_oy_a000000166511,파넬,[1등 진정세럼] 파넬 시카마누 92세럼30ml,serum,2502,4.695,0.1059,0.1275,0.3269,high,61.64,84.75,10.59,100.00,"평균별점 4.695, 리뷰 2502건, 재구매율 0.1059, 프로필라벨율 0.3269"
prod_oy_a000000254111,이니스프리,[1+1/파우치증정] 이니스프리 비타민C 그린티 엔자임 세럼 30ml 리필 기획 토이 스토리 5 에디션,serum,2434,4.804,0.1319,0.1647,0.3969,high,65.88,90.20,13.19,100.00,"평균별점 4.804, 리뷰 2434건, 재구매율 0.1319, 프로필라벨율 0.3969"
prod_oy_a000000210417,헤브블루,[증정기획] 헤브블루 살몬 PDRN 센텔라 크림 100ml 기획 (+연어 토너 25ml),cream,2411,4.840,0.2045,0.1319,0.3621,high,67.82,92.00,20.45,100.00,"평균별점 4.840, 리뷰 2411건, 재구매율 0.2045, 프로필라벨율 0.3621"
prod_oy_a000000244987,메디힐,[1+1] 메디힐 마데카소사이드 흔적 리페어 더마크림 50+50ml 더블 기획,cream,2405,4.694,0.1168,0.1085,0.2836,high,61.42,84.70,11.68,100.00,"평균별점 4.694, 리뷰 2405건, 재구매율 0.1168, 프로필라벨율 0.2836"
prod_oy_a000000228804,토리든,[단독기획] 토리든 밸런스풀 시카 컨트롤 세럼 50ml 기획 (+크림 20ml),serum,2401,4.657,0.0904,0.1075,0.2799,high,59.85,82.85,9.04,100.00,"평균별점 4.657, 리뷰 2401건, 재구매율 0.0904, 프로필라벨율 0.2799"
prod_oy_a000000171829,바이오더마,바이오더마 아토덤 인텐시브 밤 500ml,cream,2372,4.771,0.1092,0.1488,0.2652,high,63.70,88.55,10.92,100.00,"평균별점 4.771, 리뷰 2372건, 재구매율 0.1092, 프로필라벨율 0.2652"
prod_oy_a000000145576,라운드랩,[저자극] 라운드랩 1025 독도 로션 200ml 기획 (+50ml),lotion,2365,4.767,0.0765,0.1023,0.1945,high,62.12,88.35,7.65,100.00,"평균별점 4.767, 리뷰 2365건, 재구매율 0.0765, 프로필라벨율 0.1945"
prod_oy_a000000012809,피지오겔,피지오겔 DMT 데일리 보습 페이셜 로션 200ml,lotion,2355,4.811,0.1601,0.1363,0.1741,high,65.24,90.55,16.01,100.00,"평균별점 4.811, 리뷰 2355건, 재구매율 0.1601, 프로필라벨율 0.1741"
prod_oy_a000000211479,아비브,[화잘먹세럼] 아비브 부활초 비피다 세럼 퍼밍 드롭 50ml 더블 기획,serum,2347,4.756,0.1210,0.1576,0.3132,high,63.85,87.80,12.10,100.00,"평균별점 4.756, 리뷰 2347건, 재구매율 0.1210, 프로필라벨율 0.3132"
prod_oy_a000000247774,구달,[115ml 대용량 기획] 구달 청귤 비타C 잡티케어 세럼 알파 50ml 더블 기획(+신제품 TXA세럼),serum,2331,4.768,0.0347,0.1424,0.2913,high,62.19,88.40,3.47,100.00,"평균별점 4.768, 리뷰 2331건, 재구매율 0.0347, 프로필라벨율 0.2913"
prod_oy_a000000205643,메디힐,[1등/단품] 메디힐 마데카소사이드 흔적 리페어 세럼 40ml,serum,2328,4.668,0.2002,0.1074,0.2861,high,62.38,83.40,20.02,100.00,"평균별점 4.668, 리뷰 2328건, 재구매율 0.2002, 프로필라벨율 0.2861"
prod_oy_a000000223297,뉴라덤,[윤곽앰플] 메디톡스 뉴라덤 코어타임 앰플 15ml [기획(+7ml)/단품],serum,2303,4.948,0.5402,0.1598,0.4594,high,78.27,97.40,54.02,100.00,"평균별점 4.948, 리뷰 2303건, 재구매율 0.5402, 프로필라벨율 0.4594"
prod_oy_a000000189544,VT,[모공/흡수] VT 리들샷 300 에센스 50ml,serum,2275,4.787,0.1143,0.1147,0.3415,high,64.28,89.35,11.43,100.00,"평균별점 4.787, 리뷰 2275건, 재구매율 0.1143, 프로필라벨율 0.3415"
prod_oy_a000000213171,에스네이처,[리뷰이벤트/속촉촉 진정토너] 에스네이처 아쿠아 오아시스 토너 300ml 기획 (+젤크림 30ml),toner,2262,4.805,0.1300,0.1384,0.2869,high,65.06,90.25,13.00,100.00,"평균별점 4.805, 리뷰 2262건, 재구매율 0.1300, 프로필라벨율 0.2869"
