alias,canonical_id,alias_type,confidence,source
Tripeptide,peptides,en,medium,KCIA peptide naming
테트라펩타이드,peptides,ko,medium,KCIA peptide naming
Tetrapeptide,peptides,en,medium,KCIA peptide naming
펜타펩타이드,peptides,ko,medium,KCIA peptide naming
Pentapeptide,peptides,en,medium,KCIA peptide naming
헥사펩타이드,peptides,ko,medium,KCIA peptide naming
Hexapeptide,peptides,en,medium,KCIA peptide naming
올리고펩타이드,peptides,ko,medium,KCIA peptide naming
Oligopeptide,peptides,en,medium,KCIA peptide naming
폴리펩타이드,peptides,ko,medium,KCIA peptide naming
Polypeptide,peptides,en,medium,KCIA peptide naming
아세틸헥사펩타이드-8,acetyl_hexapeptide_8,ko,high,KCIA 표준화명칭목록 2026-06-30
Acetyl Hexapeptide-8,acetyl_hexapeptide_8,inci,high,KCIA 표준화명칭목록 2026-06-30
아르지렐린,peptides,synonym,high,common market synonym
Argireline,peptides,synonym,high,common market synonym
카퍼트라이펩타이드-1,copper_tripeptide_1,ko,high,KCIA 표준화명칭목록 2026-06-30
Copper Tripeptide-1,copper_tripeptide_1,inci,high,KCIA 표준화명칭목록 2026-06-30
구리펩타이드,peptides,synonym,high,common Korean synonym
Copper Peptide,peptides,synonym,high,common market synonym
팔미토일펜타펩타이드-4,palmitoyl_pentapeptide_4,ko,high,KCIA 표준화명칭목록 2026-06-30
Palmitoyl Pentapeptide-4,palmitoyl_pentapeptide_4,inci,high,KCIA 표준화명칭목록 2026-06-30
마트릭실,peptides,synonym,medium,common market synonym
Matrixyl,peptides,synonym,medium,common market synonym
팔미토일트라이펩타이드-1,palmitoyl_tripeptide_1,ko,high,KCIA 표준화명칭목록 2026-06-30
Palmitoyl Tripeptide-1,palmitoyl_tripeptide_1,inci,high,KCIA 표준화명칭목록 2026-06-30
팔미토일테트라펩타이드-7,palmitoyl_tetrapeptide_7,ko,high,KCIA 표준화명칭목록 2026-06-30
Palmitoyl Tetrapeptide-7,palmitoyl_tetrapeptide_7,inci,high,KCIA 표준화명칭목록 2026-06-30
팔미토일트라이펩타이드-38,peptides,ko,high,KCIA 표준화명칭목록
Palmitoyl Tripeptide-38,peptides,inci,high,INCI/CosIng
트라이펩타이드-1,tripeptide_1,ko,high,KCIA 표준화명칭목록 2026-06-30
Tripeptide-1,tripeptide_1,inci,high,KCIA 표준화명칭목록 2026-06-30
비타민C,ascorbic_acid,synonym,medium,common market synonym
비타민 C,ascorbic_acid,synonym,medium,common market synonym
Vitamin C,ascorbic_acid,synonym,medium,common market synonym
아스코빅애씨드,ascorbic_acid,ko,high,KCIA 표준화명칭목록
아스코르브산,ascorbic_acid,synonym,high,chemical synonym
Ascorbic Acid,ascorbic_acid,inci,high,INCI/CosIng
L-Ascorbic Acid,ascorbic_acid,synonym,high,chemical synonym
L-아스코빅애씨드,ascorbic_acid,synonym,high,chemical synonym
LAA,ascorbic_acid,abbrev,medium,common cosmetic abbreviation
알부틴,arbutin,ko,high,KCIA 표준화명칭목록
Arbutin,arbutin,inci,high,INCI/CosIng
베타알부틴,arbutin,synonym,medium,chemical synonym
베타-알부틴,arbutin,synonym,medium,chemical synonym
Beta-Arbutin,arbutin,synonym,medium,chemical synonym
트라넥사믹애씨드,tranexamic_acid,ko,high,KCIA 표준화명칭목록
트라넥사믹산,tranexamic_acid,synonym,high,common Korean synonym
트라넥삼산,tranexamic_acid,synonym,high,common Korean synonym
Tranexamic Acid,tranexamic_acid,inci,high,INCI/CosIng
Tranexamic,tranexamic_acid,synonym,medium,common cosmetic shorthand
TXA,tranexamic_acid,abbrev,medium,common cosmetic abbreviation
티엑스에이,tranexamic_acid,abbrev,medium,common Korean abbreviation
코직애씨드,kojic_acid,ko,high,KCIA 표준화명칭목록
코직산,kojic_acid,synonym,high,common Korean synonym
코지산,kojic_acid,typo,medium,common Korean label typo
Kojic Acid,kojic_acid,inci,high,INCI/CosIng
Kojic,kojic_acid,synonym,medium,common cosmetic shorthand
감초추출물,licorice_extract,ko,high,KCIA 표준화명칭목록
감초뿌리추출물,licorice_extract,ko,high,KCIA 표준화명칭목록
스페인감초뿌리추출물,licorice_extract,ko,high,KCIA 표준화명칭목록
창과감초뿌리추출물,licorice_extract,ko,high,KCIA 표준화명칭목록
Licorice Extract,licorice_extract,en,high,common market synonym
Licorice Root Extract,licorice_extract,en,high,common market synonym
Glycyrrhiza Glabra Root Extract,licorice_extract,inci,high,INCI/CosIng
Glycyrrhiza Uralensis Root Extract,licorice_extract,inci,high,INCI/CosIng
Glycyrrhiza Inflata Root Extract,licorice_extract,inci,high,INCI/CosIng
Glycyrrhiza Glabra (Licorice) Root Extract,licorice_extract,inci,high,INCI/CosIng
유용성감초추출물,licorice_extract,synonym,medium,MFDS functional ingredient label
Oil Soluble Licorice Extract,licorice_extract,synonym,medium,MFDS functional ingredient label
글라브리딘,glabridin,ko,high,observed exact product label
Glabridin,glabridin,inci,high,literature and product label
글리세린,glycerin,ko,high,KCIA 표준화명칭목록
Glycerin,glycerin,inci,high,INCI/CosIng
글리세롤,glycerin,synonym,high,chemical synonym
Glycerol,glycerin,synonym,high,chemical synonym
식물성글리세린,glycerin,synonym,medium,common market synonym
Vegetable Glycerin,glycerin,synonym,medium,common market synonym
히알루론산,hyaluronic_acid,synonym,high,common Korean synonym
하이알루로닉애씨드,hyaluronic_acid,ko,high,KCIA 표준화명칭목록
Hyaluronic Acid,hyaluronic_acid,inci,high,INCI/CosIng
소듐하이알루로네이트,sodium_hyaluronate,ko,high,KCIA 표준화명칭목록 2026-06-30
Sodium Hyaluronate,sodium_hyaluronate,inci,high,KCIA 표준화명칭목록 2026-06-30
하이드롤라이즈드하이알루로닉애씨드,hydrolyzed_hyaluronic_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
Hydrolyzed Hyaluronic Acid,hydrolyzed_hyaluronic_acid,inci,high,KCIA 표준화명칭목록 2026-06-30
하이드롤라이즈드소듐하이알루로네이트,hydrolyzed_sodium_hyaluronate,ko,high,KCIA 표준화명칭목록 2026-06-30
Hydrolyzed Sodium Hyaluronate,hydrolyzed_sodium_hyaluronate,inci,high,KCIA 표준화명칭목록 2026-06-30
포타슘하이알루로네이트,potassium_hyaluronate,ko,high,KCIA 표준화명칭목록 2026-06-30
Potassium Hyaluronate,potassium_hyaluronate,inci,high,KCIA 표준화명칭목록 2026-06-30
소듐아세틸레이티드하이알루로네이트,sodium_acetylated_hyaluronate,ko,high,KCIA 표준화명칭목록 2026-06-30
Sodium Acetylated Hyaluronate,sodium_acetylated_hyaluronate,inci,high,KCIA 표준화명칭목록 2026-06-30
소듐하이알루로네이트크로스폴리머,sodium_hyaluronate_crosspolymer,ko,high,KCIA 표준화명칭목록 2026-06-30
Sodium Hyaluronate Crosspolymer,sodium_hyaluronate_crosspolymer,inci,high,KCIA 표준화명칭목록 2026-06-30
하이드록시프로필트라이모늄하이알루로네이트,hydroxypropyltrimonium_hyaluronate,ko,high,KCIA 표준화명칭목록 2026-06-30
Hydroxypropyltrimonium Hyaluronate,hydroxypropyltrimonium_hyaluronate,inci,high,KCIA 표준화명칭목록 2026-06-30
저분자히알루론산,hyaluronic_acid,synonym,medium,common market synonym
고분자히알루론산,hyaluronic_acid,synonym,medium,common market synonym
판테놀,panthenol,ko,high,KCIA 표준화명칭목록
Panthenol,panthenol,inci,high,INCI/CosIng
덱스판테놀,dexpanthenol,ko,high,KCIA 표준화명칭목록 2026-06-30
Dexpanthenol,dexpanthenol,inci,high,KCIA 표준화명칭목록 2026-06-30
프로비타민B5,panthenol,synonym,high,common market synonym
프로비타민 B5,panthenol,synonym,high,common market synonym
Provitamin B5,panthenol,synonym,high,common market synonym
비타민B5,panthenol,synonym,medium,common market shorthand
비타민 B5,panthenol,synonym,medium,common market shorthand
세라마이드,ceramides,ko,high,common cosmetic family
Ceramide,ceramides,en,high,common cosmetic family
Ceramides,ceramides,en,high,common cosmetic family
세라마이드엔피,ceramide_np,ko,high,KCIA 표준화명칭목록 2026-06-30
Ceramide NP,ceramide_np,inci,high,KCIA 표준화명칭목록 2026-06-30
세라마이드3,ceramide_np,synonym,high,KCIA 표준화명칭목록 2026-06-30
Ceramide 3,ceramide_np,synonym,high,KCIA 표준화명칭목록 2026-06-30
세라마이드에이피,ceramide_ap,ko,high,KCIA 표준화명칭목록 2026-06-30
Ceramide AP,ceramide_ap,inci,high,KCIA 표준화명칭목록 2026-06-30
세라마이드이오피,ceramide_eop,ko,high,KCIA 표준화명칭목록 2026-06-30
Ceramide EOP,ceramide_eop,inci,high,KCIA 표준화명칭목록 2026-06-30
세라마이드엔에스,ceramide_ns,ko,high,KCIA 표준화명칭목록 2026-06-30
Ceramide NS,ceramide_ns,inci,high,KCIA 표준화명칭목록 2026-06-30
세라마이드엔지,ceramide_ng,ko,high,KCIA 표준화명칭목록 2026-06-30
Ceramide NG,ceramide_ng,inci,high,KCIA 표준화명칭목록 2026-06-30
세라마이드에이에스,ceramide_as,ko,high,KCIA 표준화명칭목록 2026-06-30
Ceramide AS,ceramide_as,inci,high,KCIA 표준화명칭목록 2026-06-30
세라마이드엔디에스,ceramides,ko,medium,KCIA 표준화명칭목록
Ceramide NDS,ceramides,inci,medium,INCI/CosIng
콜레스테롤,cholesterol,ko,high,KCIA 표준화명칭목록 2026-06-30
Cholesterol,cholesterol,inci,high,KCIA 표준화명칭목록 2026-06-30
지방산,cholesterol_fatty_acids,synonym,medium,common cosmetic family
Fatty Acid,cholesterol_fatty_acids,synonym,medium,common cosmetic family
Fatty Acids,cholesterol_fatty_acids,synonym,medium,common cosmetic family
리놀레익애씨드,linoleic_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
Linoleic Acid,linoleic_acid,inci,high,KCIA 표준화명칭목록 2026-06-30
리놀레닉애씨드,linolenic_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
Linolenic Acid,linolenic_acid,inci,high,KCIA 표준화명칭목록 2026-06-30
올레익애씨드,oleic_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
Oleic Acid,oleic_acid,inci,high,KCIA 표준화명칭목록 2026-06-30
스테아릭애씨드,stearic_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
Stearic Acid,stearic_acid,inci,high,KCIA 표준화명칭목록 2026-06-30
팔미틱애씨드,palmitic_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
Palmitic Acid,palmitic_acid,inci,high,KCIA 표준화명칭목록 2026-06-30
라우릭애씨드,lauric_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
Lauric Acid,lauric_acid,inci,high,KCIA 표준화명칭목록 2026-06-30
미리스틱애씨드,myristic_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
Myristic Acid,myristic_acid,inci,high,KCIA 표준화명칭목록 2026-06-30
베헤닉애씨드,cholesterol_fatty_acids,ko,high,KCIA 표준화명칭목록
Behenic Acid,cholesterol_fatty_acids,inci,high,INCI/CosIng
스쿠알란,squalane,ko,high,KCIA 표준화명칭목록
Squalane,squalane,inci,high,INCI/CosIng
식물성스쿠알란,squalane,synonym,high,common Korean label
Phytosqualane,squalane,synonym,medium,common market synonym
Plant-derived Squalane,squalane,synonym,medium,common market synonym
올리브스쿠알란,squalane,synonym,medium,common market synonym
Olive Squalane,squalane,synonym,medium,common market synonym
다이메티콘,dimethicone,ko,high,KCIA 표준화명칭목록
디메치콘,dimethicone,synonym,high,KCIA 구명칭
Dimethicone,dimethicone,inci,high,INCI/CosIng
폴리다이메틸실록세인,dimethicone,synonym,medium,chemical synonym
Polydimethylsiloxane,dimethicone,synonym,medium,chemical synonym
PDMS,dimethicone,abbrev,medium,chemical abbreviation
페트롤라툼,petrolatum,ko,high,KCIA 표준화명칭목록 2026-06-30
Petrolatum,petrolatum,inci,high,KCIA 표준화명칭목록 2026-06-30
바셀린,petrolatum_mineral_oil,synonym,medium,common Korean synonym
Vaseline,petrolatum_mineral_oil,synonym,medium,common market synonym
Petroleum Jelly,petrolatum_mineral_oil,synonym,high,common English synonym
White Petrolatum,petrolatum_mineral_oil,synonym,high,common English synonym
미네랄오일,mineral_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
Mineral Oil,mineral_oil,inci,high,KCIA 표준화명칭목록 2026-06-30
파라핀오일,petrolatum_mineral_oil,synonym,medium,common Korean synonym
Paraffinum Liquidum,petrolatum_mineral_oil,synonym,high,EU label synonym
Liquid Paraffin,petrolatum_mineral_oil,synonym,high,common English synonym
유레아,urea,ko,high,KCIA 표준화명칭목록
우레아,urea,synonym,high,common Korean synonym
Urea,urea,inci,high,INCI/CosIng
카바마이드,urea,synonym,high,chemical synonym
Carbamide,urea,synonym,high,chemical synonym
병풀추출물,centella_asiatica_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
병풀잎추출물,centella_asiatica_leaf_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
병풀뿌리추출물,centella_asiatica_root_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
병풀잎수,centella_asiatica_leaf_water,ko,high,KCIA 표준화명칭목록 2026-06-30
병풀수,centella_asiatica,synonym,medium,common Korean label
센텔라아시아티카추출물,centella_asiatica,synonym,high,common Korean label
센텔라추출물,centella_asiatica,synonym,high,common Korean label
Centella Asiatica Extract,centella_asiatica_extract,inci,high,KCIA 표준화명칭목록 2026-06-30
Centella Asiatica Leaf Extract,centella_asiatica_leaf_extract,inci,high,KCIA 표준화명칭목록 2026-06-30
Centella Asiatica Root Extract,centella_asiatica_root_extract,inci,high,KCIA 표준화명칭목록 2026-06-30
Centella Asiatica Leaf Water,centella_asiatica_leaf_water,inci,high,KCIA 표준화명칭목록 2026-06-30
Hydrolyzed Centella Asiatica Extract,centella_asiatica,inci,medium,INCI/CosIng
시카,centella_asiatica,synonym,medium,common market synonym
Cica,centella_asiatica,synonym,medium,common market synonym
아시아티코사이드,asiaticoside,ko,high,observed exact product label
Asiaticoside,asiaticoside,inci,high,INCI/CosIng
Asiaticoside (),asiaticoside,typo,high,observed empty-parenthesis formatting variant
마데카소사이드,madecassoside,ko,high,KCIA 표준화명칭목록
Madecassoside,madecassoside,inci,high,INCI/CosIng
마데카소사이드*,madecassoside,typo,medium,project raw crawl
티트리,tea_tree,synonym,high,common Korean label
티트리잎오일,melaleuca_alternifolia_tea_tree_leaf_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
티트리잎추출물,melaleuca_alternifolia_tea_tree_leaf_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
티트리추출물,melaleuca_alternifolia_tea_tree_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
티트리꽃/잎/줄기추출물,tea_tree,ko,high,KCIA 표준화명칭목록
Tea Tree,tea_tree,synonym,high,common market synonym
Tea Tree Leaf Oil,tea_tree,en,high,common market synonym
Melaleuca Alternifolia Leaf Oil,tea_tree,inci,high,INCI/CosIng
Melaleuca Alternifolia (Tea Tree) Leaf Extract,melaleuca_alternifolia_tea_tree_leaf_extract,inci,high,KCIA 표준화명칭목록 2026-06-30
Melaleuca Alternifolia (Tea Tree) Extract,melaleuca_alternifolia_tea_tree_extract,inci,high,KCIA 표준화명칭목록 2026-06-30
알란토인,allantoin,ko,high,KCIA 표준화명칭목록
Allantoin,allantoin,inci,high,INCI/CosIng
알란토인*,allantoin,typo,medium,project raw crawl
콜로이달오트밀,colloidal_oatmeal,ko,high,KCIA 표준화명칭목록
콜로이드오트밀,colloidal_oatmeal,synonym,medium,common Korean synonym
콜로이드성오트밀,colloidal_oatmeal,synonym,medium,common Korean synonym
Colloidal Oatmeal,colloidal_oatmeal,inci,high,INCI/CosIng
Oatmeal Colloid,colloidal_oatmeal,synonym,medium,common English synonym
비사보롤,bisabolol,ko,high,KCIA 표준화명칭목록
Bisabolol,bisabolol,inci,high,INCI/CosIng
알파-비사보롤,alpha_bisabolol,ko,high,KCIA 표준화명칭목록 2026-06-30
Alpha-Bisabolol,bisabolol,synonym,high,chemical synonym
레보메놀,bisabolol,synonym,medium,chemical synonym
Levomenol,bisabolol,synonym,medium,chemical synonym
녹차,green_tea,synonym,high,common Korean label
녹차추출물,camellia_sinensis_leaf_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
녹차잎추출물,green_tea,ko,high,common Korean label
차나무잎추출물,green_tea,ko,high,KCIA 표준화명칭목록
Green Tea Extract,green_tea,en,high,common market synonym
Camellia Sinensis Leaf Extract,camellia_sinensis_leaf_extract,inci,high,KCIA 표준화명칭목록 2026-06-30
녹차수,camellia_sinensis_leaf_water,ko,high,KCIA 표준화명칭목록 2026-06-30
Green Tea Water,green_tea,en,medium,common market synonym
Camellia Sinensis Leaf Water,camellia_sinensis_leaf_water,inci,high,KCIA 표준화명칭목록 2026-06-30
녹차가루,green_tea,ko,medium,KCIA 표준화명칭목록
Green Tea Powder,green_tea,en,medium,common market synonym
Camellia Sinensis Leaf Powder,green_tea,inci,medium,INCI/CosIng
피토스핑고신,phytosphingosine,ko,high,KCIA/common Korean label
Phytosphingosine,phytosphingosine,inci,high,INCI
PHS,phytosphingosine,abbrev,medium,literature abbreviation
글루타티온,glutathione,ko,high,KCIA/common Korean label
글루타치온,glutathione,synonym,medium,common Korean transliteration
Glutathione,glutathione,inci,high,INCI
베타-글루칸,beta_glucan,ko,high,KCIA/common Korean label
베타글루칸,beta_glucan,ko,high,common Korean label variant
효모베타-글루칸,beta_glucan,ko,medium,common Korean label; yeast beta-glucan family
Beta-Glucan,beta_glucan,inci,high,INCI/common English label
Beta Glucan,beta_glucan,synonym,high,common English label variant
Yeast Beta-Glucan,beta_glucan,synonym,medium,common English label; yeast beta-glucan family
다이포타슘글리시리제이트,dipotassium_glycyrrhizate,ko,high,KCIA/common Korean label
디포타슘글리시리제이트,dipotassium_glycyrrhizate,typo,medium,common Korean transliteration variant
Dipotassium Glycyrrhizate,dipotassium_glycyrrhizate,inci,high,INCI
Dipotassium Glycyrrhizinate,dipotassium_glycyrrhizate,synonym,medium,literature spelling variant
"1,2-Hexanediol",1_2_hexanediol,inci,high,KCIA 표준화명칭목록 2026-06-30
"1,2-헥산다이올",1_2_hexanediol,ko,high,KCIA 표준화명칭목록 2026-06-30
"1,2-헥산디올",1_2_hexanediol,synonym,high,KCIA 표준화명칭목록 2026-06-30
3-O-Ethyl Ascorbic Acid,3_o_ethyl_ascorbic_acid,inci,high,KCIA 표준화명칭목록 2026-06-30
3-O-에틸아스코빅애씨드,3_o_ethyl_ascorbic_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
Acacia Senegal Gum,acacia_senegal_gum,inci,high,KCIA 표준화명칭목록 2026-06-30
Acetic Acid,acetic_acid,inci,high,KCIA 표준화명칭목록 2026-06-30
Acetyl Glucosamine,acetyl_glucosamine,inci,high,KCIA 표준화명칭목록 2026-06-30
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,acrylates_c10_30_alkyl_acrylate_crosspolymer,inci,high,KCIA 표준화명칭목록 2026-06-30
Acrylates Copolymer,acrylates_copolymer,inci,high,KCIA 표준화명칭목록 2026-06-30
Alanine,alanine,inci,high,KCIA 표준화명칭목록 2026-06-30
Alcohol,alcohol,inci,high,KCIA 표준화명칭목록 2026-06-30
Alcohol Denat.,alcohol_denat,inci,high,KCIA 표준화명칭목록 2026-06-30
Algae Extract,algae_extract,inci,high,KCIA 표준화명칭목록 2026-06-30
Algin,algin,inci,high,KCIA 표준화명칭목록 2026-06-30
Aloe Barbadensis Leaf Extract,aloe_barbadensis_leaf_extract,inci,high,KCIA 표준화명칭목록 2026-06-30
Aloe Barbadensis Leaf Juice,aloe_barbadensis_leaf_juice,inci,high,KCIA 표준화명칭목록 2026-06-30
Aloe Barbadensis Leaf Juice Powder,aloe_barbadensis_leaf_juice_powder,inci,high,KCIA 표준화명칭목록 2026-06-30
Alpha-Isomethyl Ionone,alpha_isomethyl_ionone,inci,high,KCIA 표준화명칭목록 2026-06-30
Alumina,alumina,inci,high,KCIA 표준화명칭목록 2026-06-30
Aluminum Hydroxide,aluminum_hydroxide,inci,high,KCIA 표준화명칭목록 2026-06-30
Aluminum Starch Octenylsuccinate,aluminum_starch_octenylsuccinate,inci,high,KCIA 표준화명칭목록 2026-06-30
Aminomethyl Propanol,aminomethyl_propanol,inci,high,KCIA 표준화명칭목록 2026-06-30
Ammonium Acryloyldimethyltaurate/VP Copolymer,ammonium_acryloyldimethyltaurate_vp_copolymer,inci,high,KCIA 표준화명칭목록 2026-06-30
Ammonium Polyacryloyldimethyl Taurate,ammonium_polyacryloyldimethyl_taurate,inci,high,KCIA 표준화명칭목록 2026-06-30
Amodimethicone,amodimethicone,inci,high,KCIA 표준화명칭목록 2026-06-30
Amyl Cinnamal,amyl_cinnamal,inci,high,KCIA 표준화명칭목록 2026-06-30
Anhydroxylitol,anhydroxylitol,inci,high,KCIA 표준화명칭목록 2026-06-30
Anthemis Nobilis Flower Extract,chamomilla_recutita_matricaria_flower_extract,synonym,high,KCIA 표준화명칭목록 2026-06-30
Argania Spinosa Kernel Oil,argania_spinosa_kernel_oil,inci,high,KCIA 표준화명칭목록 2026-06-30
Arginine,arginine,inci,high,KCIA 표준화명칭목록 2026-06-30
Ascorbyl Glucoside,ascorbyl_glucoside,inci,high,KCIA 표준화명칭목록 2026-06-30
Ascorbyl Palmitate,ascorbyl_palmitate,inci,high,KCIA 표준화명칭목록 2026-06-30
Asiatic Acid,asiatic_acid,inci,high,KCIA 표준화명칭목록 2026-06-30
Aspartic Acid,aspartic_acid,inci,high,KCIA 표준화명칭목록 2026-06-30
Auricula/Vitis Labrusca Fruit/Helianthus Tuberosus Tuber Ferment Extract Isoamyl Laurate,auricula_vitis_labrusca_fruit_helianthus_tuberosus_tub_kcia_6682,inci,high,KCIA 표준화명칭목록 2026-06-30
Avena Sativa (Oat) Kernel Extract,avena_sativa_oat_kernel_extract,inci,high,KCIA 표준화명칭목록 2026-06-30
Bakuchiol,bakuchiol,inci,high,KCIA 표준화명칭목록 2026-06-30
Barium Sulfate,barium_sulfate,inci,high,KCIA 표준화명칭목록 2026-06-30
Behentrimonium Chloride,behentrimonium_chloride,inci,high,KCIA 표준화명칭목록 2026-06-30
Behentrimonium Methosulfate,behentrimonium_methosulfate,inci,high,KCIA 표준화명칭목록 2026-06-30
Behenyl Alcohol,behenyl_alcohol,inci,high,KCIA 표준화명칭목록 2026-06-30
Benzoic Acid,benzoic_acid,inci,high,KCIA 표준화명칭목록 2026-06-30
Benzophenone-4,benzophenone_4,inci,high,KCIA 표준화명칭목록 2026-06-30
Benzyl Alcohol,benzyl_alcohol,inci,high,KCIA 표준화명칭목록 2026-06-30
Benzyl Benzoate,benzyl_benzoate,inci,high,KCIA 표준화명칭목록 2026-06-30
Benzyl Salicylate,benzyl_salicylate,inci,high,KCIA 표준화명칭목록 2026-06-30
Betaine,betaine,inci,high,KCIA 표준화명칭목록 2026-06-30
BHT,bht,inci,high,KCIA 표준화명칭목록 2026-06-30
Biosaccharide Gum-1,biosaccharide_gum_1,inci,high,KCIA 표준화명칭목록 2026-06-30
Biotin,biotin,inci,high,KCIA 표준화명칭목록 2026-06-30
Bis-Diglyceryl Polyacyladipate-2,bis_diglyceryl_polyacyladipate_2,inci,high,KCIA 표준화명칭목록 2026-06-30
