ingredient_rank,ingredient_id,name_ko,name_en,product_count,cohort_source,score_status,active_effect_count,active_effect_ids,min_effect_score,max_effect_score,score_origins,human_approval_gate_used,full_text_gate_used
0,salicylic_acid_bha,살리실산/BHA,Salicylic Acid / BHA,3956,existing_34,score_active_existing,2,effect_acne_sebum|effect_exfoliation,60,70,existing_34_unchanged,N,N
0,squalane,스쿠알란,Squalane,7887,existing_34,score_active_existing,1,effect_moisture_barrier,52,52,existing_34_unchanged,N,N
0,tea_tree,티트리,Tea Tree,27,existing_34,score_active_existing,1,effect_acne_sebum,54,54,existing_34_unchanged,N,N
0,tranexamic_acid,트라넥사믹애씨드,Tranexamic Acid,436,existing_34,score_active_existing,1,effect_brightening,65,65,existing_34_unchanged,N,N
0,urea,유레아,Urea,1257,existing_34,score_active_existing,3,effect_calming|effect_exfoliation|effect_moisture_barrier,37,66,existing_34_unchanged,N,N
0,zinc_pca,징크PCA,Zinc PCA,772,existing_34,score_active_existing,2,effect_acne_sebum|effect_moisture_barrier,32,48,existing_34_unchanged,N,N
2,phenoxyethanol,페녹시에탄올,Phenoxyethanol,28403,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
3,butylene_glycol,부틸렌글라이콜,Butylene Glycol,26098,new_466,score_active_new,1,effect_moisture_barrier,32,32,official_function_prior,N,N
4,tocopherol,토코페롤,Tocopherol,25877,new_466,score_active_new,2,effect_calming|effect_moisture_barrier,30,50,ai_paper_override|official_function_prior,N,N
5,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
6,citric_acid,시트릭애씨드,Citric Acid,21835,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
7,caprylyl_glycol,카프릴릴글라이콜,Caprylyl Glycol,21124,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
10,limonene,리모넨,Limonene,16657,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
11,linalool,리날룰,Linalool,16306,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
12,sodium_benzoate,소듐벤조에이트,Sodium Benzoate,14591,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
13,potassium_sorbate,포타슘솔베이트,Potassium Sorbate,14077,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
14,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol",13987,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
15,disodium_edta,다이소듐이디티에이,Disodium EDTA,13862,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
16,xanthan_gum,잔탄검,Xanthan Gum,13776,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
17,tocopheryl_acetate,토코페릴아세테이트,Tocopheryl Acetate,13298,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
18,caprylic_capric_triglyceride,카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,13261,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
19,propanediol,프로판다이올,Propanediol,12794,new_466,score_active_new,1,effect_moisture_barrier,50,50,ai_paper_override,N,N
21,silica,실리카,Silica,12318,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
22,sodium_chloride,소듐클로라이드,Sodium Chloride,11564,new_466,score_active_new,1,effect_moisture_barrier,35,35,ai_paper_override,N,N
23,sodium_hydroxide,소듐하이드록사이드,Sodium Hydroxide,10880,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
25,water,정제수,Water,10377,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
26,pentylene_glycol,펜틸렌글라이콜,Pentylene Glycol,9887,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
27,alcohol,에탄올,Alcohol,9165,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
28,disteardimonium_hectorite,다이스테아다이모늄헥토라이트,Disteardimonium Hectorite,8426,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
29,citronellol,시트로넬올,Citronellol,8409,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
30,mica,마이카,Mica,8184,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
31,cetearyl_alcohol,세테아릴알코올,Cetearyl Alcohol,8000,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
32,carbomer,카보머,Carbomer,7987,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
33,geraniol,제라니올,Geraniol,7955,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
35,aluminum_hydroxide,알루미늄하이드록사이드,Aluminum Hydroxide,7465,new_466,score_active_new,1,effect_moisture_barrier,32,32,official_function_prior,N,N
36,helianthus_annuus_sunflower_seed_oil,해바라기씨오일,Helianthus Annuus (Sunflower) Seed Oil,7098,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
38,butyrospermum_parkii_shea_butter,시어버터,Butyrospermum Parkii (Shea) Butter,7024,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
39,triethoxycaprylylsilane,트라이에톡시카프릴릴실레인,Triethoxycaprylylsilane,7011,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
40,glyceryl_stearate,글리세릴스테아레이트,Glyceryl Stearate,6922,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
41,dipropylene_glycol,다이프로필렌글라이콜,Dipropylene Glycol,6761,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
42,fragrance_perfume_parfum,향료,Fragrance|Perfume|Parfum,6642,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
43,hydrogenated_lecithin,하이드로제네이티드레시틴,Hydrogenated Lecithin,6561,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
44,hexyl_cinnamal,헥실신남알,Hexyl Cinnamal,6489,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
45,pentaerythrityl_tetra_di_t_butyl_hydroxyhydrocinnamate,펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나 메이트,Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate,6228,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
46,propylene_glycol,프로필렌글라이콜,Propylene Glycol,6174,new_466,score_active_new,1,effect_moisture_barrier,32,32,official_function_prior,N,N
47,benzyl_alcohol,벤질알코올,Benzyl Alcohol,6169,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
48,hydroxyacetophenone,하이드록시아세토페논,Hydroxyacetophenone,6028,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
49,sodium_citrate,소듐시트레이트,Sodium Citrate,6013,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
50,lecithin,레시틴,Lecithin,5969,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
53,arginine,알지닌,Arginine,5512,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
54,citral,시트랄,Citral,5510,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
56,sorbitan_isostearate,솔비탄아이소스테아레이트,Sorbitan Isostearate,5244,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
57,simmondsia_chinensis_jojoba_seed_oil,호호바씨오일,Simmondsia Chinensis (Jojoba) Seed Oil,5237,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
58,chlorphenesin,클로페네신,Chlorphenesin,5149,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
59,cetyl_alcohol,세틸알코올,Cetyl Alcohol,5107,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
60,trimethylsiloxysilicate,트라이메틸실록시실리케이트,Trimethylsiloxysilicate,5074,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
61,benzyl_salicylate,벤질살리실레이트,Benzyl Salicylate,5017,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
62,isododecane,아이소도데케인,Isododecane,5008,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
63,sodium_hyaluronate,소듐하이알루로네이트,Sodium Hyaluronate,4731,new_466,score_active_new,1,effect_moisture_barrier,50,50,official_function_prior+ai_paper_override,N,N
64,acrylates_c10_30_alkyl_acrylate_crosspolymer,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,4609,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
65,synthetic_fluorphlogopite,합성플루오르플로고파이트,Synthetic Fluorphlogopite,4598,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
66,polysorbate_20,폴리솔베이트20,Polysorbate 20,4507,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
67,propylene_carbonate,프로필렌카보네이트,Propylene Carbonate,4481,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
68,tin_oxide,틴옥사이드,Tin Oxide,4311,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
69,maltodextrin,말토덱스트린,Maltodextrin,4238,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
70,cetyl_peg_ppg_10_1_dimethicone,세틸피이지/피피지-10/1다이메티콘,Cetyl PEG/PPG-10/1 Dimethicone,4225,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
71,betaine,베타인,Betaine,4117,new_466,score_active_new,1,effect_moisture_barrier,32,32,official_function_prior,N,N
72,bht,비에이치티,BHT,4071,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
73,tromethamine,트로메타민,Tromethamine,4055,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
74,dimethicone_vinyl_dimethicone_crosspolymer,다이메티콘/비닐다이메티콘크로스폴리머,Dimethicone/Vinyl Dimethicone Crosspolymer,3998,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
75,trisodium_ethylenediamine_disuccinate,트라이소듐에틸렌다이아민다이석시네이트,Trisodium Ethylenediamine Disuccinate,3978,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
77,ethylhexyl_palmitate,에틸헥실팔미테이트,Ethylhexyl Palmitate,3952,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
78,hydroxycitronellal,하이드록시시트로넬알,Hydroxycitronellal,3950,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
79,magnesium_sulfate,마그네슘설페이트,Magnesium Sulfate,3837,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
80,glyceryl_caprylate,글리세릴카프릴레이트,Glyceryl Caprylate,3834,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
81,polysorbate_60,폴리솔베이트60,Polysorbate 60,3724,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
82,hexylene_glycol,헥실렌글라이콜,Hexylene Glycol,3707,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
83,coumarin,쿠마린,Coumarin,3628,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
84,octyldodecanol,옥틸도데칸올,Octyldodecanol,3622,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
85,caffeine,카페인,Caffeine,3594,new_466,score_active_new,1,effect_moisture_barrier,50,50,ai_paper_override,N,N
86,alpha_isomethyl_ionone,알파-아이소메틸아이오논,Alpha-Isomethyl Ionone,3582,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
87,titanium_dioxide,티타늄디옥사이드,Titanium Dioxide,3526,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
88,sodium_phytate,소듐파이테이트,Sodium Phytate,3487,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
89,benzyl_benzoate,벤질벤조에이트,Benzyl Benzoate,3475,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
90,hydroxyethylcellulose,하이드록시에틸셀룰로오스,Hydroxyethylcellulose,3444,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
94,phenyl_trimethicone,페닐트라이메티콘,Phenyl Trimethicone,3264,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
95,polyhydroxystearic_acid,폴리하이드록시스테아릭애씨드,Polyhydroxystearic Acid,3251,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
96,peg_10_dimethicone,피이지-10다이메티콘,PEG-10 Dimethicone,3223,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
97,sodium_dehydroacetate,소듐데하이드로아세테이트,Sodium Dehydroacetate,3209,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
98,sodium_pca,소듐피씨에이,Sodium PCA,3194,new_466,score_active_new,1,effect_moisture_barrier,32,32,official_function_prior,N,N
99,cyclopentasiloxane,사이클로펜타실록세인,Cyclopentasiloxane,3191,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
100,cetrimonium_chloride,세트리모늄클로라이드,Cetrimonium Chloride,3176,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
101,hydroxyethyl_acrylate_sodium_acryloyldimethyl_taurate_copolymer,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우 레이트코폴리머,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,3125,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
102,behentrimonium_chloride,베헨트라이모늄클로라이드,Behentrimonium Chloride,3094,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
103,trehalose,트레할로오스,Trehalose,3069,new_466,score_active_new,1,effect_moisture_barrier,32,32,official_function_prior,N,N
104,benzoic_acid,벤조익애씨드,Benzoic Acid,3052,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
105,diisostearyl_malate,다이아이소스테아릴말레이트,Diisostearyl Malate,3046,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
106,guar_hydroxypropyltrimonium_chloride,구아하이드록시프로필트라이모늄클로라이드,Guar Hydroxypropyltrimonium Chloride,2976,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
107,rosmarinus_officinalis_rosemary_leaf_extract,로즈마리잎추출물,Rosmarinus Officinalis (Rosemary) Leaf Extract,2974,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
108,polymethylsilsesquioxane,폴리메틸실세스퀴옥세인,Polymethylsilsesquioxane,2948,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
109,cocos_nucifera_coconut_oil,코코넛야자오일,Cocos Nucifera (Coconut) Oil,2936,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
110,isopropyl_alcohol,아이소프로필알코올,Isopropyl Alcohol,2897,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
111,ceramide_np,세라마이드엔피,Ceramide NP,2859,new_466,score_active_new,1,effect_moisture_barrier,50,50,ai_paper_override,N,N
112,alumina,알루미나,Alumina,2856,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
113,olea_europaea_olive_fruit_oil,올리브오일,Olea Europaea (Olive) Fruit Oil,2737,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
114,coco_caprylate_caprate,코코-카프릴레이트/카프레이트,Coco-Caprylate/Caprate,2735,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
115,peg_100_stearate,피이지-100스테아레이트,PEG-100 Stearate,2700,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
116,glycine,글라이신,Glycine,2677,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
117,aloe_barbadensis_leaf_juice,알로에베라잎즙,Aloe Barbadensis Leaf Juice,2637,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
119,cocamidopropyl_betaine,코카미도프로필베타인,Cocamidopropyl Betaine,2631,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
121,tetrasodium_glutamate_diacetate,테트라소듐글루타메이트다이아세테이트,Tetrasodium Glutamate Diacetate,2616,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
122,hydrogenated_polyisobutene,하이드로제네이티드폴리아이소부텐,Hydrogenated Polyisobutene,2614,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
123,sorbitan_olivate,솔비탄올리베이트,Sorbitan Olivate,2612,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
124,leuconostoc_radish_root_ferment_filtrate,류코노스톡/무발효여과물,Leuconostoc/Radish Root Ferment Filtrate,2611,new_466,score_active_new,1,effect_acne_sebum,40,40,official_function_prior,N,N
125,stearyl_alcohol,스테아릴알코올,Stearyl Alcohol,2607,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
126,ammonium_acryloyldimethyltaurate_vp_copolymer,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,Ammonium Acryloyldimethyltaurate/VP Copolymer,2544,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
127,synthetic_wax,합성왁스,Synthetic Wax,2516,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
128,sodium_lactate,소듐락테이트,Sodium Lactate,2510,new_466,score_active_new,2,effect_exfoliation|effect_moisture_barrier,30,32,official_function_prior,N,N
129,persea_gratissima_avocado_oil,아보카도오일,Persea Gratissima (Avocado) Oil,2502,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
130,methylpropanediol,메틸프로판다이올,Methylpropanediol,2495,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
131,serine,세린,Serine,2484,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
132,dehydroacetic_acid,데하이드로아세틱애씨드,Dehydroacetic Acid,2418,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
133,lauroyl_lysine,라우로일라이신,Lauroyl Lysine,2380,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
134,ascorbyl_palmitate,아스코빌팔미테이트,Ascorbyl Palmitate,2347,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
135,behenyl_alcohol,베헤닐알코올,Behenyl Alcohol,2336,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
136,centella_asiatica_extract,병풀추출물,Centella Asiatica Extract,2328,new_466,score_active_new,2,effect_calming|effect_moisture_barrier,50,50,ai_paper_override|official_function_prior+ai_paper_override,N,N
137,sorbic_acid,소르빅애씨드,Sorbic Acid,2318,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
138,decyl_glucoside,데실글루코사이드,Decyl Glucoside,2311,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
139,argania_spinosa_kernel_oil,아르간커넬오일,Argania Spinosa Kernel Oil,2310,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
140,kaolin,카올린,Kaolin,2306,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
141,hydrolyzed_hyaluronic_acid,하이드롤라이즈드하이알루로닉애씨드,Hydrolyzed Hyaluronic Acid,2185,new_466,score_active_new,1,effect_moisture_barrier,32,32,official_function_prior,N,N
142,triethyl_citrate,트라이에틸시트레이트,Triethyl Citrate,2184,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
143,sorbitol,솔비톨,Sorbitol,2180,new_466,score_active_new,1,effect_moisture_barrier,32,32,official_function_prior,N,N
144,polyglyceryl_10_laurate,폴리글리세릴-10라우레이트,Polyglyceryl-10 Laurate,2178,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
145,dimethicone_crosspolymer,다이메티콘크로스폴리머,Dimethicone Crosspolymer,2168,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
146,peg_40_hydrogenated_castor_oil,피이지-40하이드로제네이티드캐스터오일,PEG-40 Hydrogenated Castor Oil,2164,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
147,tetrasodium_edta,테트라소듐이디티에이,Tetrasodium EDTA,2163,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
148,lactobacillus_ferment,락토바실러스발효물,Lactobacillus Ferment,2124,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
149,caprylyl_methicone,카프릴릴메티콘,Caprylyl Methicone,2109,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
151,sodium_stearoyl_glutamate,소듐스테아로일글루타메이트,Sodium Stearoyl Glutamate,2093,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
152,glucose,글루코오스,Glucose,2086,new_466,score_active_new,1,effect_moisture_barrier,32,32,official_function_prior,N,N
153,c12_15_alkyl_benzoate,C12-15알킬벤조에이트,C12-15 Alkyl Benzoate,2065,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
154,isopropyl_myristate,아이소프로필미리스테이트,Isopropyl Myristate,2061,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
155,biotin,바이오틴,Biotin,2057,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
156,stearic_acid,스테아릭애씨드,Stearic Acid,2046,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
157,cetearyl_olivate,세테아릴올리베이트,Cetearyl Olivate,2040,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
158,amodimethicone,아모다이메티콘,Amodimethicone,1991,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
159,glycine_soja_soybean_oil,돌콩오일,Glycine Soja (Soybean) Oil,1990,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
160,acrylates_copolymer,아크릴레이트코폴리머,Acrylates Copolymer,1981,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
161,isohexadecane,아이소헥사데칸,Isohexadecane,1980,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
162,proline,프롤린,Proline,1959,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
163,ricinus_communis_castor_seed_oil,피마자씨오일,Ricinus Communis (Castor) Seed Oil,1949,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
164,polyquaternium_10,폴리쿼터늄-10,Polyquaternium-10,1948,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
165,polyquaternium_7,폴리쿼터늄-7,Polyquaternium-7,1935,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
166,potassium_hydroxide,포타슘하이드록사이드,Potassium Hydroxide,1932,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
167,isononyl_isononanoate,아이소노닐아이소노나노에이트,Isononyl Isononanoate,1929,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
168,xylitol,자일리톨,Xylitol,1921,new_466,score_active_new,2,effect_acne_sebum|effect_moisture_barrier,40,50,official_function_prior|official_function_prior+ai_paper_override,N,N
170,jojoba_esters,호호바에스터,Jojoba Esters,1916,new_466,score_active_new,2,effect_calming|effect_moisture_barrier,32,33,official_function_prior,N,N
171,dimethiconol,다이메티콘올,Dimethiconol,1907,new_466,score_active_new,1,effect_moisture_barrier,32,32,official_function_prior,N,N
172,alanine,알라닌,Alanine,1897,new_466,evaluated_no_six_axis_signal,0,,0,0,,N,N
173,sodium_polyacrylate,소듐폴리아크릴레이트,Sodium Polyacrylate,1875,new_466,score_active_new,1,effect_moisture_barrier,30,30,official_function_prior,N,N
