ingredient_id,name_ko,name_en,effect_id,effect_name,evidence_class,legacy_effect_score,evidence_score,paper_key,paper_title,evidence_sentence,reason_ko,source_url,screening_pass,score_origin,external_claim_use
caffeine,카페인,Caffeine,effect_moisture_barrier,보습·장벽,supporting,50,35,PMID:18489298,Caffeine improves barrier function in male skin.,"In a double-blind placebo-controlled study, 0.5% caffeine was applied to one forearm and HEC vehicle to the other for seven days; caffeine application significantly reduced TEWL in male skin.","0.5% caffeine-HEC를 한쪽 팔에, caffeine이 없는 HEC vehicle을 반대쪽 팔에 7일 도포한 이중눈가림 대조시험에서 남성 피부 TEWL 감소가 확인됐지만, 초록에 정확한 좌우 군간 p값은 없다.",https://pubmed.ncbi.nlm.nih.gov/18489298/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
capryloyl_salicylic_acid,카프릴로일살리실릭애씨드,Capryloyl Salicylic Acid,effect_brightening,미백·톤,supporting,50,35,PMID:19146601,Clinical tolerance and efficacy of capryloyl salicylic acid peel compared to a glycolic acid peel in subjects with fine lines/wrinkles and hyperpigmented skin,LHA-treated sides showed reductions in hyperpigmentation and fine lines at 12 weeks.,분할안면에서 LHA 도포 후 색소와 잔주름이 감소했지만 활성대조군 대비 우월성은 없고 정확한 p값이 없다.,https://pubmed.ncbi.nlm.nih.gov/19146601/,initial_164_ai,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
capryloyl_salicylic_acid,카프릴로일살리실릭애씨드,Capryloyl Salicylic Acid,effect_wrinkle,주름·탄력,supporting,50,35,PMID:19146601,Clinical tolerance and efficacy of capryloyl salicylic acid peel compared to a glycolic acid peel in subjects with fine lines/wrinkles and hyperpigmented skin,LHA-treated sides showed reductions in hyperpigmentation and fine lines at 12 weeks.,분할안면에서 LHA 도포 후 색소와 잔주름이 감소했지만 활성대조군 대비 우월성은 없고 정확한 p값이 없다.,https://pubmed.ncbi.nlm.nih.gov/19146601/,initial_164_ai,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
centella_asiatica_extract,병풀추출물,Centella Asiatica Extract,effect_calming,진정,supporting,50,35,PMID:27168678,Moisturizing and Antiinflammatory Properties of Cosmetic Formulations Containing Centella asiatica Extract.,In vivo tests formulations containing 5% of Centella asiatica extract showed the best efficacy in improving skin moisture by increase of skin surface hydration state and decrease in transepidermal water loss as well as exhibited antiinflammatory properties based on the methyl nicotinate model of microinflammation in human skin.,25명 건강인에게 병풀추출물 2.5%·5% 제형을 4주 도포해 농도별 비교가 가능하고 Corneometer·Tewameter·Chromameter로 수분·TEWL·유발 홍반 개선을 확인했으나 vehicle 및 군간 p값이 초록에 없다.,https://pubmed.ncbi.nlm.nih.gov/27168678/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
centella_asiatica_extract,병풀추출물,Centella Asiatica Extract,effect_moisture_barrier,보습·장벽,supporting,50,35,PMID:27168678,Moisturizing and Antiinflammatory Properties of Cosmetic Formulations Containing Centella asiatica Extract.,In vivo tests formulations containing 5% of Centella asiatica extract showed the best efficacy in improving skin moisture by increase of skin surface hydration state and decrease in transepidermal water loss as well as exhibited antiinflammatory properties based on the methyl nicotinate model of microinflammation in human skin.,25명 건강인에게 병풀추출물 2.5%·5% 제형을 4주 도포해 농도별 비교가 가능하고 Corneometer·Tewameter·Chromameter로 수분·TEWL·유발 홍반 개선을 확인했으나 vehicle 및 군간 p값이 초록에 없다.,https://pubmed.ncbi.nlm.nih.gov/27168678/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
ceramide_np,세라마이드엔피,Ceramide NP,effect_moisture_barrier,보습·장벽,supporting,50,35,PMID:18717861,Ceramide 1 and ceramide 3 act synergistically on skin hydration and the transepidermal water loss of sodium lauryl sulfate-irritated skin.,It can be concluded that all the tested ceramide-containing emulsions improved skin barrier function when compared with untreated skin.,"건강인 SLS 유발 피부에 control, ceramide 1, ceramide 3, 병용 emulsion을 비교해 Ceramide 3 독립 arm이 존재하고 수분 증가·TEWL 감소가 확인되었으나 초록에 군간 p값은 없다.",https://pubmed.ncbi.nlm.nih.gov/18717861/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
curcuma_longa_turmeric_root_extract,울금뿌리추출물,Curcuma Longa (Turmeric) Root Extract,effect_acne_sebum,여드름·피지,supporting,50,35,DOI:10.4314/tjpr.v12i5.1,Effect of Turmeric (Curcuma longa Zingiberaceae) Extract Cream on Human Skin Sebum Secretion,"The 5% turmeric-root-extract cream reduced cheek sebum by 24.76% at week 12, while the matched control base showed an increase; the reported p-value applies to change within the extract arm.",13명 건강한 남성의 양 볼에 5% 울금뿌리추출물 크림과 동일 base를 각각 도포하고 Sebumeter로 측정했다. 성분군의 시간내 sebum 감소 p값은 확인되지만 target-vs-base 직접 군간 p값이 없어 supporting으로 판정했다.,https://doi.org/10.4314/tjpr.v12i5.1,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
ectoin,엑토인,Ectoin,effect_moisture_barrier,보습·장벽,supporting,50,35,PMID:17519560,"In vivo assessment of Ectoin: a randomized, vehicle-controlled clinical trial.",Hydration increased by 29.5% with Ectoin and 21.6% with vehicle; elasticity changes were not significant.,전문에서 2% Ectoin의 수분 증가를 확인했지만 군간 유의성은 명시되지 않았다. 탄력 변화는 유의하지 않아 주름 효능에서는 제외했다.,https://pubmed.ncbi.nlm.nih.gov/17519560/,initial_164_ai,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
gluconolactone,글루코노락톤,Gluconolactone,effect_acne_sebum,여드름·피지,limited_medical,35,25,PMID:1303072,A comparative study of gluconolactone versus benzoyl peroxide in the treatment of acne.,Gluconolactone significantly reduced inflamed and non-inflamed acne lesions.,14% 글루코노락톤이 vehicle 대비 병변 수를 유의하게 줄였지만 여드름 환자 한정 근거다.,https://pubmed.ncbi.nlm.nih.gov/1303072/,initial_164_ai,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
gluconolactone,글루코노락톤,Gluconolactone,effect_moisture_barrier,보습·장벽,supporting,50,35,PMID:37335807,"Evaluation of the effects of 10% and 30% gluconolactone chemical peel on sebum, pH, and TEWL.","After gluconolactone treatments, TEWL was significantly lower at several facial measurement sites.",건강한 여성 split-face 농도비교에서 gluconolactone 도포 후 TEWL이 유의하게 감소했으나 무처치 vehicle 대조가 없어 보조등급으로 반영했다.,https://pubmed.ncbi.nlm.nih.gov/37335807/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
moringa_oleifera_seed_oil,드럼스틱씨오일,Moringa Oleifera Seed Oil,effect_moisture_barrier,보습·장벽,primary,70,50,DOI:10.3390/cosmetics8010002,Moringa oleifera Seed Oil Formulation Physical Stability and Chemical Constituents for Enhancing Skin Hydration and Antioxidant Activity,"At week 4, skin hydration increased by 85% with the moringa-seed-oil cream versus 48% with the cream base, with significant between-formulation differences (p<0.05 or better across measured time points).",32명이 25% moringa seed oil 크림과 mineral-oil cream base를 사용한 인체 도포시험에서 Corneometer 수분값의 군간 유의차와 p값이 전문에 명시됐다.,https://doi.org/10.3390/cosmetics8010002,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
phytosterols,피토스테롤,Phytosterols,effect_moisture_barrier,보습·장벽,supporting,50,35,PMID:18528589,In vivo spectrophotometric evaluation of skin barrier recovery after topical application of soybean phytosterols.,Phytosterol-treated sites showed appreciable barrier recovery compared with vehicle control three days after tape stripping.,사람 피부 tape-stripping 모델에서 phytosterol 함유제형과 성분 없는 vehicle을 직접 비교해 장벽 회복 개선을 확인했다.,https://pubmed.ncbi.nlm.nih.gov/18528589/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
propanediol,프로판다이올,Propanediol,effect_moisture_barrier,보습·장벽,supporting,50,35,PMID:37699769,"Effects of 1,3-propanediol associated, or not, with butylene glycol and/or glycerol on skin hydration and skin barrier function.",The humectants significantly improved skin hydration and reduced TEWL throughout the 8-h time course.,"30명 인체 전완 도포에서 1,3-프로판다이올 단독 농도군이 capacitance와 TEWL을 개선했지만 무작위·대조 설계와 군간 p값이 초록에 불명확해 supporting으로 판정.",https://pubmed.ncbi.nlm.nih.gov/37699769/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
pvp,피브이피,PVP,effect_wrinkle,주름·탄력,supporting,50,35,PMID:29799810,Reducing Facial Wrinkle Size and Increasing Skin Firmness Using Skin Care Polymers.,"Instrumental firming measurements showed immediate facial tightening with PVP, while the placebo emulsion showed no significant tightening benefit.",PVP가 동일 model emulsion의 placebo와 비교된 이중눈가림 무작위 인체시험이며 기기 firming 측정에서 즉시 tightening 방향이 명확했다. 다만 PVP 군간 p값과 효과크기가 초록에 없어 supporting으로 한정했다.,https://pubmed.ncbi.nlm.nih.gov/29799810/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
retinyl_palmitate,레티닐팔미테이트,Retinyl Palmitate,effect_acne_sebum,여드름·피지,limited_medical,35,25,PMID:34211271,"Tailoring of Retinyl Palmitate-Based Ethosomal Hydrogel as a Novel Nanoplatform for Acne Vulgaris Management: Fabrication, Optimization, and Clinical Evaluation Employing a Split-Face Comparative Study.",Retinyl palmitate hydrogel produced significantly lower non-inflammatory and total acne lesion counts than topical tretinoin.,여드름 환자 split-face에서 retinyl palmitate hydrogel이 활성대조 tretinoin보다 비염증성·전체 병변 수를 더 낮췄으나 질환군 근거다.,https://pubmed.ncbi.nlm.nih.gov/34211271/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
saccharide_isomerate,사카라이드아이소머레이트,Saccharide Isomerate,effect_calming,진정,limited_medical,35,25,PMID:41211697,A novel facial moisturizer containing Saccharide isomerate accelerates skin barrier restoration following intense pulsed light treatment: a randomized split-face study.,"After IPL, the saccharide-isomerate moisturizer produced significantly greater TEWL reduction, hydration gain, and erythema improvement than the identical base without saccharide isomerate (all p<0.05).",30명 무작위 split-face 시험의 전문에서 대조제가 saccharide isomerate만 빠진 동일 base임을 확인했고 TEWL·수분·홍반의 군간 p<0.05를 확인했다. IPL 시술 후 손상 문맥으로 적용성이 제한되어 limited_medical을 적용했다.,https://pubmed.ncbi.nlm.nih.gov/41211697/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
saccharide_isomerate,사카라이드아이소머레이트,Saccharide Isomerate,effect_moisture_barrier,보습·장벽,limited_medical,35,25,PMID:41211697,A novel facial moisturizer containing Saccharide isomerate accelerates skin barrier restoration following intense pulsed light treatment: a randomized split-face study.,"After IPL, the saccharide-isomerate moisturizer produced significantly greater TEWL reduction, hydration gain, and erythema improvement than the identical base without saccharide isomerate (all p<0.05).",30명 무작위 split-face 시험의 전문에서 대조제가 saccharide isomerate만 빠진 동일 base임을 확인했고 TEWL·수분·홍반의 군간 p<0.05를 확인했다. IPL 시술 후 손상 문맥으로 적용성이 제한되어 limited_medical을 적용했다.,https://pubmed.ncbi.nlm.nih.gov/41211697/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
sodium_acetylated_hyaluronate,소듐아세틸레이티드하이알루로네이트,Sodium Acetylated Hyaluronate,effect_wrinkle,주름·탄력,primary,70,50,PMID:34708918,The anti-wrinkles properties of sodium acetylated hyaluronate.,"Six hours after application, 0.2% sodium acetylated hyaluronate yielded 6% fewer total crow's-feet wrinkles and 26.5% fewer medium lines than placebo (p<0.05).",vehicle 대조 인체시험 전문에서 0.2% sodium acetylated hyaluronate 크림의 profilometry 주름 개수가 placebo 대비 유의하게 감소했음을 확인했다.,https://pubmed.ncbi.nlm.nih.gov/34708918/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
sodium_ascorbyl_phosphate,소듐아스코빌포스페이트,Sodium Ascorbyl Phosphate,effect_acne_sebum,여드름·피지,limited_medical,35,25,PMID:18492184,Sodium ascorbyl phosphate shows in vitro and in vivo efficacy in the prevention and treatment of acne vulgaris.,A 12-week open study reported excellent or good efficacy in 76.9% of subjects.,5% SAP 로션의 공개 인체 사용시험에서 여드름 개선이 명확하지만 개방형·질환군 근거다.,https://pubmed.ncbi.nlm.nih.gov/18492184/,initial_164_ai,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
sodium_ascorbyl_phosphate,소듐아스코빌포스페이트,Sodium Ascorbyl Phosphate,effect_wrinkle,주름·탄력,supporting,50,35,PMID:32383548,Comparative physicochemical stability and clinical anti-wrinkle efficacy of transdermal emulgel preparations of 5% sodium ascorbyl phosphate and or ascorbic acid on human volunteers.,A blinded placebo-controlled human study found that 5% sodium ascorbyl phosphate reduced wrinkle depth and improved elasticity.,건강인 two-sided blind placebo 연구에서 5% sodium ascorbyl phosphate가 주름 깊이를 줄이고 탄력을 높였으나 제품 간 우월성은 없었다.,https://pubmed.ncbi.nlm.nih.gov/32383548/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
sodium_chloride,소듐클로라이드,Sodium Chloride,effect_moisture_barrier,보습·장벽,limited_medical,35,25,DOI:10.1159/000056331,Do Urea and Sodium Chloride together Increase the Efficacy of Moisturisers for Atopic Dermatitis Skin?,a moisturiser containing both urea and sodium chloride seems somewhat more effective than the same moisturiser without sodium chloride,요소+NaCl 대 요소 단독의 무작위 이중눈가림 비교로 NaCl 증분효과가 분리되지만 아토피 피부 대상이고 임피던스 결과의 군간 통계가 불명확해 limited_medical로 판정.,https://doi.org/10.1159/000056331,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
sodium_hyaluronate,소듐하이알루로네이트,Sodium Hyaluronate,effect_moisture_barrier,보습·장벽,supporting,50,35,PMID:24724824,"Liposome, gel and lipogelosome formulations containing sodium hyaluronate.","Na-HA-loaded lipogelosome LG4 increased skin moisture by 30.4 ± 0.1% after two weeks, compared with 7.5 ± 0.1% for the matched Na-HA-free lipogelosome LG3.","15명 여성에게 sodium hyaluronate 함유 gel·lipogelosome과 동일 carrier의 Na-HA-free 음성대조를 2주 도포했고, LG4의 피부 수분이 30.4%로 LG3 7.5%보다 증가했으나 소규모 예비시험이고 정확한 군간 p값은 보고되지 않았다.",https://pubmed.ncbi.nlm.nih.gov/24724824/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
tocopherol,토코페롤,Tocopherol,effect_calming,진정,supporting,50,35,PMID:9767255,Topical melatonin in combination with vitamins E and C protects skin from ultraviolet-induced erythema: a human study in vivo,The results showed a modest protective effect of the vitamins when applied alone and a dose-dependent photoprotective effect of melatonin.,무작위 이중눈가림 인체 UV 도전시험에서 알파-토코페롤 단독 도포의 홍반 보호가 보고됐지만 초록에 군간 p값이나 CI가 없어 supporting으로 판정.,https://openalex.org/W1576649181,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
vitis_vinifera_grape_seed_oil,포도씨오일,Vitis Vinifera (Grape) Seed Oil,effect_moisture_barrier,보습·장벽,limited_medical,35,25,DOI:10.58860/ijsh.v4i7.321,"Effectiveness of Topical Grape Seed Oil (Vitis Vinifera) 100% on the Skin Barrier in Elderly: a Comparative Study of Tewl, Skin pH, and Overall Dry Skin Score Between Grape Seed Oil and Petrolatum","After four weeks, 100% topical grape-seed oil produced significantly greater improvements in TEWL and Overall Dry Skin scores than petrolatum in elderly participants with xerosis.",노인 xerosis cutis 환자의 100% 포도씨오일과 petrolatum 무작위 비교에서 TEWL과 ODS가 군간 유의하게 더 개선됐다. 질환·고령 집단에 한정되어 limited_medical을 적용했다.,https://doi.org/10.58860/ijsh.v4i7.321,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
xylitol,자일리톨,Xylitol,effect_moisture_barrier,보습·장벽,supporting,50,35,PMID:21569743,Antiirritant properties of polyols and amino acids.,"In healthy volunteers, xylitol significantly suppressed the SLS-induced rise in transepidermal water loss, whereas mannitol did not.",건강한 성인의 SLS patch 시험에서 xylitol 유무가 독립 비교됐고 TEWL 상승을 유의하게 억제했다. 방향은 명확하나 초록에 군간 p값이 제시되지 않아 supporting으로 보수 판정했다.,https://pubmed.ncbi.nlm.nih.gov/21569743/,full_43533_candidate_rescue,AI_full_candidate_rescue_v1.3,separate_from_runtime_score
