portfolio_rank,ingredient_id,name_ko,name_en,effect_id,effect_name,product_count,selection_policy,signal_strength,signal_functions,best_evidence_tier,best_signal_score,best_relation_scope,best_applicability,best_pmid,best_title,screening_status,review_status,score_change
34,tea_tree,티트리,Tea Tree,effect_acne_sebum,여드름·피지,27,existing_runtime,current,,,0,,,,,existing_runtime,existing_runtime,none
35,sodium_hyaluronate,소듐하이알루로네이트,Sodium Hyaluronate,effect_moisture_barrier,보습·장벽,4731,human_topical_pubmed_required,high,HUMECTANT,2,95,title_exact,human_topical,41650338,Efficacy and Safety of Sodium Hyaluronate Gel for Facial Skin Rejuvenation.,evidence_tier_2,candidate_unverified,none
36,sucrose,수크로오스,Sucrose,effect_calming,진정,1520,direct_cosing_signal,high,SOOTHING,1,100,abstract_exact,human_topical,15495086,Pain relief for neonatal circumcision.,evidence_tier_1,candidate_unverified,none
36,sucrose,수크로오스,Sucrose,effect_moisture_barrier,보습·장벽,1520,human_topical_pubmed_required,high,HUMECTANT,4,60,abstract_exact,human_topical,11522477,Effects of microemulsions on the stratum corneum and hydrocortisone penetration.,evidence_tier_4,candidate_unverified,none
37,propylene_glycol,프로필렌글라이콜,Propylene Glycol,effect_moisture_barrier,보습·장벽,6174,human_topical_pubmed_required,high,HUMECTANT+SKIN CONDITIONING - HUMECTANT,2,90,abstract_exact,human_topical,25305378,Influence of lidocaine hydrochloride and penetration enhancers on the barrier function of human skin.,evidence_tier_2,candidate_unverified,none
38,menthol,멘톨,Menthol,effect_calming,진정,1596,direct_cosing_signal,high,SOOTHING,2,90,abstract_exact,human_topical,24746728,Clinical and mycological evaluation of an herbal antifungal formulation in canine Malassezia dermatitis.,evidence_tier_2,candidate_unverified,none
39,sodium_phosphate,소듐포스페이트,Sodium Phosphate,effect_acne_sebum,여드름·피지,1370,human_topical_pubmed_required,high,ANTI-SEBORRHEIC,2,90,abstract_exact,human_topical,25749543,"An objective analysis of sebum, pH and moisture levels of the external ear canal skin.",evidence_tier_2,candidate_unverified,none
40,tocopherol,토코페롤,Tocopherol,effect_moisture_barrier,보습·장벽,25877,human_topical_pubmed_required,medium,SKIN CONDITIONING - OCCLUSIVE,2,90,abstract_exact,human_topical,21822034,An encapsulated fruit and vegetable juice concentrate increases skin microcirculation in healthy women.,evidence_tier_2,candidate_unverified,none
41,sea_water,해수,Sea Water,effect_moisture_barrier,보습·장벽,312,human_topical_pubmed_required,high,HUMECTANT,2,95,title_exact,human_topical,11301639,Sea water or its components alter experimental irritant dermatitis in man.,evidence_tier_2,candidate_unverified,none
42,glucose,글루코오스,Glucose,effect_moisture_barrier,보습·장벽,2086,human_topical_pubmed_required,high,HUMECTANT,3,83,title_exact,human_topical,33108650,"A Prospective, Open-Label Short-Term Pilot Study on Modification of the Skin Hydration Status During Treatment With a Sodium-Glucose Cotransporter-2 Inhibitor.",evidence_tier_3,candidate_unverified,none
43,lactic_acid,락틱애씨드,Lactic Acid,effect_moisture_barrier,보습·장벽,585,human_topical_pubmed_required,high,HUMECTANT,2,90,abstract_exact,human_topical,40736038,Clinical Observation of a Novel Moisturizing Cream for Reducing Neurovascular Hyper-Reactivity in Sensitive Skin.,evidence_tier_2,candidate_unverified,none
44,betaine,베타인,Betaine,effect_moisture_barrier,보습·장벽,4117,human_topical_pubmed_required,high,HUMECTANT+SKIN CONDITIONING - HUMECTANT,3,78,abstract_exact,human_topical,10048655,Biophysical characterization of skin damage and recovery after exposure to different surfactants.,evidence_tier_3,candidate_unverified,none
45,collagen,콜라겐,Collagen,effect_moisture_barrier,보습·장벽,430,human_topical_pubmed_required,high,MOISTURISING,2,90,abstract_exact,human_topical,41052296,Topical Vitamin C in the Prevention and Treatment of Actinic Keratoses and Nonmelanoma Skin Cancers: A Systematic Scoping Review.,evidence_tier_2,candidate_unverified,none
46,piroctone_olamine,피록톤올아민,Piroctone Olamine,effect_acne_sebum,여드름·피지,337,human_topical_pubmed_required,high,ANTI-SEBORRHEIC,2,90,abstract_exact,human_topical,29484095,"Cutaneous fungal microbiome: Malassezia yeasts in seborrheic dermatitis scalp in a randomized, comparative and therapeutic trial.",evidence_tier_2,candidate_unverified,none
47,sulfur,황,Sulfur,effect_acne_sebum,여드름·피지,41,human_topical_pubmed_required,high,ANTI-SEBORRHEIC,1,100,title_exact,human_topical,33034949,"Evidence-based topical treatments (azelaic acid, salicylic acid, nicotinamide, sulfur, zinc, and fruit acid) for acne: an abridged version of a Cochrane systematic review.",evidence_tier_1,candidate_unverified,none
48,ammonium_lactate,암모늄락테이트,Ammonium Lactate,effect_exfoliation,각질,57,human_topical_pubmed_required,high,KERATOLYTIC,2,95,title_exact,human_topical,11904326,A comparative study of lactic acid 10% and ammonium lactate 12% lotion in the treatment of foot xerosis.,evidence_tier_2,candidate_unverified,none
48,ammonium_lactate,암모늄락테이트,Ammonium Lactate,effect_moisture_barrier,보습·장벽,57,human_topical_pubmed_required,high,HUMECTANT,4,65,title_exact,human_topical,1350137,Clinical and non-invasive evaluation of 12% ammonium lactate emulsion for the treatment of dry skin in atopic and non-atopic subjects.,evidence_tier_4,candidate_unverified,none
49,hypericum_perforatum_extract,서양고추나물추출물,Hypericum Perforatum Extract,effect_calming,진정,55,direct_cosing_signal,high,SOOTHING,2,95,title_exact,human_topical,10885442,Effect of topical application of Hypericum perforatum extract (St. John's wort) on skin sensitivity to solar simulated radiation.,evidence_tier_2,candidate_unverified,none
49,hypericum_perforatum_extract,서양고추나물추출물,Hypericum Perforatum Extract,effect_moisture_barrier,보습·장벽,55,human_topical_pubmed_required,medium,SKIN PROTECTING,8,6,abstract_exact,combination_or_formulation,18667843,Skin tolerance of a new bath oil containing St. John's wort extract.,evidence_tier_8,candidate_unverified,none
50,ethoxydiglycol,에톡시다이글라이콜,Ethoxydiglycol,effect_moisture_barrier,보습·장벽,505,human_topical_pubmed_required,high,HUMECTANT,3,78,abstract_exact,human_topical,29318715,Comparative evaluation of skin moisture after topical application of 10% and 30% lactobionic acid.,evidence_tier_3,candidate_unverified,none
51,isopropyl_myristate,아이소프로필미리스테이트,Isopropyl Myristate,effect_moisture_barrier,보습·장벽,2061,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,2,90,abstract_exact,human_topical,25305378,Influence of lidocaine hydrochloride and penetration enhancers on the barrier function of human skin.,evidence_tier_2,candidate_unverified,none
52,isobutylamido_thiazolyl_resorcinol,아이소부틸아미도티아졸릴레조시놀,Isobutylamido Thiazolyl Resorcinol,effect_brightening,미백·톤,23,direct_cosing_signal,high,BLEACHING,2,95,title_exact,human_topical,33988887,"Efficacy and safety of topical isobutylamido thiazolyl resorcinol (Thiamidol) vs. 4% hydroquinone cream for facial melasma: an evaluator-blinded, randomized controlled trial.",evidence_tier_2,candidate_unverified,none
53,zinc_oxide,징크옥사이드,Zinc Oxide,effect_moisture_barrier,보습·장벽,750,human_topical_pubmed_required,medium,SKIN PROTECTING,2,95,title_exact,human_topical,17128840,Comparison of dexpanthenol and zinc oxide ointment with ointment base in the treatment of irritant diaper dermatitis from diarrhea: a multicenter study.,evidence_tier_2,candidate_unverified,none
54,rosmarinic_acid,로즈마리닉애씨드,Rosmarinic Acid,effect_calming,진정,18,direct_cosing_signal,high,SOOTHING,2,95,title_exact,human_topical,19239556,Effect of rosmarinic acid on atopic dermatitis.,evidence_tier_2,candidate_unverified,none
55,isosorbide,아이소소바이드,Isosorbide,effect_moisture_barrier,보습·장벽,14,human_topical_pubmed_required,high,HUMECTANT,2,95,title_exact,human_topical,33181142,Isosorbide Di-(Linoleate/Oleate) Stimulates Prodifferentiation Gene Expression to Restore the Epidermal Barrier and Improve Skin Hydration.,evidence_tier_2,candidate_unverified,none
56,palmitic_acid,팔미틱애씨드,Palmitic Acid,effect_moisture_barrier,보습·장벽,1027,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,2,90,abstract_exact,human_topical,26528587,Safety and efficacy of Sclerocarya birrea (A.Rich.) Hochst (Marula) oil: A clinical perspective.,evidence_tier_2,candidate_unverified,none
57,cetearyl_alcohol,세테아릴알코올,Cetearyl Alcohol,effect_moisture_barrier,보습·장벽,8000,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,3,78,abstract_exact,human_topical,17331708,An alkylpolyglucoside surfactant as a prospective pharmaceutical excipient for topical formulations: the influence of oil polarity on the colloidal structure and hydrocortisone in vitro/in vivo permeation.,evidence_tier_3,candidate_unverified,none
58,methyl_nicotinate,메틸니코티네이트,Methyl Nicotinate,effect_calming,진정,93,direct_cosing_signal,high,SOOTHING,3,83,title_exact,human_topical,1742244,Cutaneous responses to topical methyl nicotinate in human forearm and vulvar skin.,evidence_tier_3,candidate_unverified,none
59,butylene_glycol,부틸렌글라이콜,Butylene Glycol,effect_moisture_barrier,보습·장벽,26098,human_topical_pubmed_required,high,HUMECTANT,3,51,abstract_exact,combination_or_formulation,39741562,The Role of Moisturizer Containing Anti-inflammatory on Skin Hydration in Mild-Moderate Atopic Dermatitis Patients.,evidence_tier_3,candidate_unverified,none
60,sodium_bicarbonate,소듐바이카보네이트,Sodium Bicarbonate,effect_moisture_barrier,보습·장벽,344,human_topical_pubmed_required,medium,SKIN PROTECTING,2,95,title_exact,human_topical,31077089,"Efficacy of a Topical Formulation of Sodium Bicarbonate in Mild to Moderate Stable Plaque Psoriasis: a Randomized, Blinded, Intrapatient, Controlled Study.",evidence_tier_2,candidate_unverified,none
61,xylitol,자일리톨,Xylitol,effect_acne_sebum,여드름·피지,1921,human_topical_pubmed_required,high,ANTI-SEBORRHEIC,4,65,title_exact,human_topical,34771112,Propanediol (and) Caprylic Acid (and) Xylitol as a New Single Topical Active Ingredient against Acne: In Vitro and In Vivo Efficacy Assays.,evidence_tier_4,candidate_unverified,none
61,xylitol,자일리톨,Xylitol,effect_moisture_barrier,보습·장벽,1921,human_topical_pubmed_required,high,HUMECTANT+SKIN CONDITIONING - HUMECTANT,6,30,title_exact,mechanistic,26370610,Anti-irritant and anti-inflammatory effects of glycerol and xylitol in sodium lauryl sulphate-induced acute irritation.,evidence_tier_6,candidate_unverified,none
62,trehalose,트레할로오스,Trehalose,effect_moisture_barrier,보습·장벽,3069,human_topical_pubmed_required,high,HUMECTANT+MOISTURISING,2,62,title_exact,combination_or_formulation,38606717,Functional properties and skin care effects of sodium trehalose sulfate.,evidence_tier_2,candidate_unverified,none
63,mineral_oil,미네랄오일,Mineral Oil,effect_moisture_barrier,보습·장벽,292,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT+SKIN CONDITIONING - OCCLUSIVE+SKIN PROTECTING,2,95,title_exact,human_topical,15724344,A randomized double-blind controlled trial comparing extra virgin coconut oil with mineral oil as a moisturizer for mild to moderate xerosis.,evidence_tier_2,candidate_unverified,none
64,methyl_salicylate,메틸살리실레이트,Methyl Salicylate,effect_calming,진정,45,direct_cosing_signal,high,SOOTHING,3,83,title_exact,human_topical,36339533,Safety and efficacy of compound methyl salicylate liniment for topical pain: A multicenter real-world study in China.,evidence_tier_3,candidate_unverified,none
65,petrolatum,페트롤라툼,Petrolatum,effect_moisture_barrier,보습·장벽,186,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,2,95,title_exact,human_topical,28677237,"Superiority of a vitamin B12-barrier cream compared with standard glycerol-petrolatum-based emollient cream in the treatment of atopic dermatitis: A randomized, left-to-right comparative trial.",evidence_tier_2,candidate_unverified,none
66,yeast_extract,효모추출물,Yeast Extract,effect_moisture_barrier,보습·장벽,369,human_topical_pubmed_required,medium,SKIN PROTECTING,2,90,abstract_exact,human_topical,37763018,Effects of Investigational Moisturizers on the Skin Barrier and Microbiome following Exposure to Environmental Aggressors: A Randomized Clinical Trial and Ex Vivo Analysis.,evidence_tier_2,candidate_unverified,none
67,saccharide_isomerate,사카라이드아이소머레이트,Saccharide Isomerate,effect_moisture_barrier,보습·장벽,1433,human_topical_pubmed_required,high,HUMECTANT,2,62,title_exact,combination_or_formulation,35279940,Saccharide isomerate ameliorates cosmetic scalp conditions in a Chinese study population.,evidence_tier_2,candidate_unverified,none
68,ethyl_linoleate,에틸리놀리에이트,Ethyl Linoleate,effect_moisture_barrier,보습·장벽,322,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,2,90,abstract_exact,human_topical,33181142,Isosorbide Di-(Linoleate/Oleate) Stimulates Prodifferentiation Gene Expression to Restore the Epidermal Barrier and Improve Skin Hydration.,evidence_tier_2,candidate_unverified,none
69,glycol,글라이콜,Glycol,effect_moisture_barrier,보습·장벽,76,human_topical_pubmed_required,high,HUMECTANT,3,78,abstract_exact,human_topical,30055301,Topical delivery of climbazole to mammalian skin.,evidence_tier_3,candidate_unverified,none
70,histidine,히스티딘,Histidine,effect_moisture_barrier,보습·장벽,1733,human_topical_pubmed_required,high,HUMECTANT,4,60,abstract_exact,human_topical,21504444,Neonatal skin maturation--vernix caseosa and free amino acids.,evidence_tier_4,candidate_unverified,none
71,squalene,스쿠알렌,Squalene,effect_moisture_barrier,보습·장벽,288,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,2,90,abstract_exact,human_topical,32697858,Topical application of autophagy-activating peptide improved skin barrier function and reduced acne symptoms in acne-prone skin.,evidence_tier_2,candidate_unverified,none
72,centella_asiatica_extract,병풀추출물,Centella Asiatica Extract,effect_calming,진정,2328,direct_cosing_signal,high,SOOTHING,2,58,abstract_exact,combination_or_formulation,40613435,Evaluation of the Efficacy and Safety of a Panthenol-Enriched Mask for Skin Barrier Recovery After Facial Laser Treatment: Results of a Double-Blind Randomized Controlled Study.,evidence_tier_2,candidate_unverified,none
73,glutamic_acid,글루타믹애씨드,Glutamic Acid,effect_moisture_barrier,보습·장벽,1483,human_topical_pubmed_required,high,HUMECTANT,4,60,abstract_exact,human_topical,21504444,Neonatal skin maturation--vernix caseosa and free amino acids.,evidence_tier_4,candidate_unverified,none
74,jojoba_esters,호호바에스터,Jojoba Esters,effect_calming,진정,1916,direct_cosing_signal,high,SOOTHING,,0,,,,,cosing_only,candidate_unverified,none
74,jojoba_esters,호호바에스터,Jojoba Esters,effect_moisture_barrier,보습·장벽,1916,human_topical_pubmed_required,high,MOISTURISING,2,58,abstract_exact,combination_or_formulation,19146603,Evaluation of additive effects of hydrolyzed jojoba (Simmondsia chinensis) esters and glycerol: a preliminary study.,evidence_tier_2,candidate_unverified,none
75,linolenic_acid,리놀레닉애씨드,Linolenic Acid,effect_moisture_barrier,보습·장벽,87,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,2,95,title_exact,human_topical,40754213,"The Effects of α-Linolenic Acid Intake on Skin and Blood Vessel Health and Subjective Fatigue in Middle-Aged Japanese Females: A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Comparative Trial.",evidence_tier_2,candidate_unverified,none
76,hydrolyzed_collagen,하이드롤라이즈드콜라겐,Hydrolyzed Collagen,effect_moisture_barrier,보습·장벽,1691,human_topical_pubmed_required,high,HUMECTANT,2,58,abstract_exact,combination_or_formulation,31221944,"Novel Hydrolyzed Chicken Sternal Cartilage Extract Improves Facial Epidermis and Connective Tissue in Healthy Adult Females: A Randomized, Double-Blind, Placebo-Controlled Trial.",evidence_tier_2,candidate_unverified,none
77,oleic_acid,올레익애씨드,Oleic Acid,effect_moisture_barrier,보습·장벽,175,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,2,90,abstract_exact,human_topical,26528587,Safety and efficacy of Sclerocarya birrea (A.Rich.) Hochst (Marula) oil: A clinical perspective.,evidence_tier_2,candidate_unverified,none
78,linoleic_acid,리놀레익애씨드,Linoleic Acid,effect_moisture_barrier,보습·장벽,174,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,2,90,abstract_exact,human_topical,32697858,Topical application of autophagy-activating peptide improved skin barrier function and reduced acne symptoms in acne-prone skin.,evidence_tier_2,candidate_unverified,none
79,glyceryl_glucoside,글리세릴글루코사이드,Glyceryl Glucoside,effect_moisture_barrier,보습·장벽,651,human_topical_pubmed_required,high,HUMECTANT,2,62,title_exact,combination_or_formulation,22584263,"Effects of glyceryl glucoside on AQP3 expression, barrier function and hydration of human skin.",evidence_tier_2,candidate_unverified,none
80,lanolin,라놀린,Lanolin,effect_moisture_barrier,보습·장벽,143,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,2,90,abstract_exact,human_topical,15781099,Effect of topical treatment with skin barrier-enhancing emollients on nosocomial infections in preterm infants in Bangladesh: a randomised controlled trial.,evidence_tier_2,candidate_unverified,none
