ingredient_rank,paper_rank,ingredient_id,name_ko,name_en,product_count,paper_key,pmid,doi,title,journal,publication_date,publication_types,authors,abstract,evidence_tier,evidence_kind,relation_scope,applicability,evidence_roles,selection_reason,selection_score,outcome_count,review_status,score_change
54,3,citral,시트랄,Citral,5510,PMID:31374350,31374350,10.1016/j.jphotobiol.2019.111565,Citral prevents UVB-induced skin carcinogenesis in hairless mice.,"Journal of photochemistry and photobiology. B, Biology",2019-07-22,Journal Article,Jean Lucas Kremer; Gabriella Pasqual Melo; Poliana Camila Marinello; Heloíza Paranzini Bordini; Ana C Rossaneis; Laís Roberta Sábio; Rubens Cecchini; Alessandra Lourenço Cecchini; Waldiceu A Verri; Rodrigo Cabral Luiz,"The incidence of skin cancers has increased worldwide, requiring more prevention of this type of cancer. The use of sunscreen and the control of the time of exposure to sunlight are the recognized forms of prevention. However, new substances have been researched in order to develop formulations with more efficient protective activity. Citral is a natural compound with lemon scent that is used in food and cosmetic industries. The present work evaluated the chemoprotective effect of citral during UVB-induced skin carcinogenesis. Male hairless mice HRS/J, 8-12 weeks old, were exposed to UVB irradiation for 24 weeks, with a cumulative radiation dose of 13.875 J/cm2. Citral (0.1, 0.5 and 1%) was applied to the skin at a dosage of 0.1 g/animal, 5 min after UVB exposure. At the end of the experiment, the number of lesion/animal, and size of lesions were measured. The histological sections of the skin were evaluated for the presence and intensity of actinic keratosis and squamous cell carcinoma. TUNEL assay was performed for apoptosis evaluation. Skin samples were used for the measurement of oxidative stress parameters (total radical-trapping antioxidant parameter of skin, glutathione, catalase activity and malondialdehyde), and cytokines levels (IL-1β, IL-4, IL-10, IL-23, TNF-α, and IFNγ). Citral 1% completely inhibited UVB-induced skin carcinogenesis by reducing levels of oxidative stress and pro-inflammatory cytokines, increasing apoptotic rate in the skin.",6,animal,title_exact,mechanistic,mechanism_evidence,mechanism_evidence,55,2,candidate_unverified,none
58,1,chlorphenesin,클로페네신,Chlorphenesin,5149,PMID:24861369,24861369,10.1177/1091581814526893,Safety Assessment of Chlorphenesin as Used in Cosmetics.,International journal of toxicology,2014-05-26,Journal Article,Wilbur Johnson; Wilma F Bergfeld; Donald V Belsito; Ronald A Hill; Curtis D Klaassen; Daniel C Liebler; James G Marks; Ronald C Shank; Thomas J Slaga; Paul W Snyder; F Alan Andersen,"Chlorphenesin functions as a biocide in cosmetics and is used at concentrations up to 0.32% in rinse-off products and up to 0.3% in leave-on products. The Cosmetic Ingredient Review Expert Panel (Panel) noted that chlorphenesin was well absorbed when applied to the skin of rats; however, any safety concern was minimized because available data demonstrated an absence of toxicity. The Panel concluded that chlorphenesin is safe in the present practices of use and concentration.",6,animal,title_exact,mechanistic,safety_evidence,safety_evidence,80,1,candidate_unverified,none
59,1,cetyl_alcohol,세틸알코올,Cetyl Alcohol,5107,PMID:15059111,15059111,10.1111/j.0105-1873.2004.00271j.x,"Contact dermatitis due to lanoconazole, cetyl alcohol and diethyl sebacate in lanoconazole cream.",Contact dermatitis,2004-Jan,Case Reports; Journal Article,Fujiko Soga; Norito Katoh; Saburo Kishimoto,,8,review_or_reference,title_exact,reference_only,safety_evidence,safety_evidence,65,0,candidate_unverified,none
61,1,benzyl_salicylate,벤질살리실레이트,Benzyl Salicylate,5017,PMID:23529141,23529141,10.2340/00015555-1542,Pigmented contact dermatitis secondary to benzyl salicylate.,Acta dermato-venereologica,2013-Sep-04,Case Reports; Journal Article,Uma Alagappan; Yong-Kwang Tay; Su-Ping Regina Lim,,8,review_or_reference,title_exact,reference_only,safety_evidence,safety_evidence,65,0,candidate_unverified,none
63,1,sodium_hyaluronate,소듐하이알루로네이트,Sodium Hyaluronate,4731,PMID:24724824,24724824,10.3109/08982104.2014.907305,"Liposome, gel and lipogelosome formulations containing sodium hyaluronate.",Journal of liposome research,2014-04-11,Clinical Trial; Comparative Study; Journal Article,Gülengül Duman; İsmail Aslan; A Yekta Özer; İbrahim İnanç; Alpay Taralp,"The moisture-imparting effect of sodium hyaluronate (Na-HA) was investigated in liposome, gel and lipogelosome topical formulations. Sixteen liposome formulations were prepared with or without Na-HA (45 kDa) using various ratios of dimyristoylphosphatidylcholine, 1,2-dimyristoyl-sn-glycero-3-phosphatidylglycerol, dipalmitoylphosphatidylcholine and phospholipon 100H. The liposomes were characterized in terms of their structure, composition, zeta potential, Na-HA-entrapment capacity and stability. In particular, scanning electron microscopy, polarized light microscopy, dynamic light scattering and atomic force microscopy were utilized to probe appearance, size and size distribution and lamellarity. The work was then extended to gels using the gelling agents poloxamer (PXM 188 or 407) and Carbopol or Ultrez 21 (U-21), yielding liposome-loaded gel formulations (i.e. lipogelosomes). The in vitro release kinetics of Na-HA from liposomes, lipogelosomes and commercial Na-HA reference formulations were studied via a flow-through cell method. Among the liposomal formulations tested, L6, comprising of Na-HA-loaded phospholipon 100H:stearylamine:cholesterol (7:1:2), displayed optimal traits. The mean particle size, zeta potential and entrapment capacity of L6 were determined as 1900 nm, -20.9 mV and 15.0%. The optimum lipogelosome, LG4, was obtained by incorporating liposome L6 into a U-21 gel at a ratio of 1:1 (w/w). In clinical trials, in-house formulations were applied twice daily to 15 female volunteers. The two-week benefits were assessed against a commercial product; and in all cases, changes of skin humidity, sebum content, pH and wrinkle depth were promising. In particular, the LG4 lipogelosome-based formulation had significantly improved skin hydration and compliance, as evidenced by a moisture content gain of 30.4%.",3,human_topical_clinical,title_exact,combination_or_formulation,formulation_evidence,formulation_evidence,79,0,candidate_unverified,none
65,1,synthetic_fluorphlogopite,합성플루오르플로고파이트,Synthetic Fluorphlogopite,4598,PMID:26684795,26684795,10.1177/1091581815613513,Safety Assessment of Synthetic Fluorphlogopite as Used in Cosmetics.,International journal of toxicology,2015,"Journal Article; Research Support, Non-U.S. Gov't; Review",Lillian C Becker; Wilma F Bergfeld; Donald V Belsito; Ronald A Hill; Curtis D Klaassen; Daniel C Liebler; James G Marks; Ronald C Shank; Thomas J Slaga; Paul W Snyder; F Alan Andersen,The Cosmetic Ingredient Review Expert Panel (the Panel) reviewed the safety of synthetic fluorphlogopite as used in cosmetics. Synthetic fluorphlogopite functions as a bulking agent and a viscosity-increasing agent. The Panel reviewed available animal and human data related to this ingredient along with a previous safety assessment of other magnesium silicates. The Panel concluded that synthetic fluorphlogopite was safe as cosmetic ingredients in the practices of use and concentration as given in this safety assessment.,8,review_or_reference,title_exact,reference_only,safety_evidence,safety_evidence,65,0,candidate_unverified,none
68,1,tin_oxide,틴옥사이드,Tin Oxide,4311,PMID:2960483,2960483,10.1111/j.1600-0536.1987.tb02689.x,Irritant dermatitis from tri-butyl tin oxide and contact allergy from chlorocresol.,Contact dermatitis,1987-Sep,Case Reports; Journal Article,P G Lewis; E A Emmett,"A shipwright developed a delayed bullous irritant dermatitis from contact with a bis-tri-butyl tin oxide (TBTO) containing antifouling paint. He subsequently developed sensitization to 4-chloro-m-cresol, a constituent of a steroid cream. No cross sensitivity to 4-chloro-3,5 xylenol was seen. Low concentrations of 4-chloro-m-cresol in pet. may elicit a true positive reaction. TBTO is a strong irritant which will produce delayed bullous reactions in industrial use and on patch testing at 0.1% aqueous.",8,review_or_reference,title_exact,combination_or_formulation,safety_evidence,safety_evidence,60,0,candidate_unverified,none
70,1,cetyl_peg_ppg_10_1_dimethicone,세틸피이지/피피지-10/1다이메티콘,Cetyl PEG/PPG-10/1 Dimethicone,4225,PMID:29430705,29430705,10.1111/cod.12922,Allergic contact dermatitis resulting from cetyl PEG/PPG-10/1 dimethicone in a deodorant cream.,Contact dermatitis,2018-Mar,Case Reports; Journal Article,María-Antonia Pastor-Nieto; María-Elena Gatica-Ortega; Francisco-De-Asís Alcántara-Nicolás; Raquel Pérez-Mesonero; Rocío Gil-Redondo; Eva Martín-Alcalde; Esther De Eusebio,,8,review_or_reference,title_exact,reference_only,safety_evidence,safety_evidence,65,0,candidate_unverified,none
71,1,betaine,베타인,Betaine,4117,PMID:38911545,38911545,10.1007/s43188-024-00243-2,"Safety assessment of cocamidopropyl betaine, a cosmetic ingredient.",Toxicological research,2024-05-21,Journal Article,Doeun Kim; Jin Kyung Seok; Minhyuk Kim; Shinai Choi; Jiyeon Hong; Young A Yoon; Hyun Chung; Ok-Nam Bae; Seung Jun Kwack; Kyu-Bong Kim; Joo Young Lee,"Cocamidopropyl betaine (CAPB) is a surfactant derived from coconut oil that is widely used in cosmetics and personal products for several purposes, such as a surfactant, foam booster, mildness, and viscosity control. Cocamidopropyl betaine is used at concentrations up to 30% in cosmetics. The acute toxicity, skin irritation, eye irritation, skin sensitization, repeated dose toxicity, genotoxicity, carcinogenicity, and phototoxicity of cocamidopropyl betaine were evaluated. Cocamidopropyl betaine was observed to induce mild skin irritation, eye irritation and skin sensitization. The NOAEL of cocamidopropyl betaine was determined to be 250 mg/kg/day based on the results of a 92-day repeated-dose oral toxicity study in rats. The systemic exposure dose of cocamidopropyl betaine was estimated to range from 0.00120 to 0.93195 mg/kg/day when used in cosmetic products. The margin of safety of cocamidopropyl betaine was calculated to be greater than 100 when used at a maximum concentration of 6% in leave-on products and 30% in rinse-off products, suggesting that its use in cosmetic products is safe under current usage conditions.",6,animal,title_exact,mechanistic,safety_evidence,safety_evidence,80,0,candidate_unverified,none
73,1,tromethamine,트로메타민,Tromethamine,4055,PMID:29761730,29761730,10.1177/1091581817738242,"Safety Assessment of Tromethamine, Aminomethyl Propanediol, and Aminoethyl Propanediol as Used in Cosmetics.",International journal of toxicology,2018,"Journal Article; Research Support, Non-U.S. Gov't",Lillian C Becker; Wilma F Bergfeld; Donald V Belsito; Ronald A Hill; Curtis D Klaassen; Daniel C Liebler; James G Marks; Ronald C Shank; Thomas J Slaga; Paul W Snyder; Lillian J Gill; Bart Heldreth,"The Cosmetic Ingredient Review (CIR) Expert Panel (Panel) reviewed the safety of tromethamine, aminomethyl propanediol, and aminoethyl propanediolas used in cosmetics. All 3 ingredients are reported to function in cosmetics as pH adjusters, and tromethamine and aminomethyl propanediol are also reported to function as fragrance ingredients. The Panel reviewed relevant animal and human data related to these ingredients, along with a previous safety assessment of aminomethyl propanediol. The Panel concluded that tromethamine, aminomethyl propanediol, and aminoethyl propanediol are safe in cosmetics in the practices of use and concentration as given in this safety assessment.",8,review_or_reference,title_exact,reference_only,safety_evidence,safety_evidence,65,0,candidate_unverified,none
76,1,salicylic_acid_bha,살리실산/BHA,Salicylic Acid / BHA,3956,PMID:24472429,24472429,10.1016/j.jaad.2013.12.005,A review of toxicity from topical salicylic acid preparations.,Journal of the American Academy of Dermatology,2014-01-25,Journal Article; Review,Raman K Madan; Jacob Levitt,"Topical salicylic acid is often used in dermatologic conditions because of its keratolytic, bacteriostatic, fungicidal, and photoprotective properties. The bioavailability of salicylic acid differs depending on the vehicle used and pH of transcellular fluids. Although rare, salicylic acid toxicity (salicylism) can occur from topical application. Physicians should be mindful of the potential for salicylism or even death from topically applied salicylic acid.",8,review_or_reference,title_exact,reference_only,safety_evidence,safety_evidence,65,0,candidate_unverified,none
78,1,hydroxycitronellal,하이드록시시트로넬알,Hydroxycitronellal,3950,PMID:20795681,20795681,10.1021/tx100043b,"Effect of a microemulsion system on hapten-peptide reactivity studies: examples of hydroxycitronellal and citral, fragrance skin sensitizers, with glutathione.",Chemical research in toxicology,2010-Sep-20,"Journal Article; Research Support, Non-U.S. Gov't",Fabien Merckel; Guillaume Bernard; Julien Mutschler; Elena Giménez-Arnau; G Frank Gerberick; Jean-Pierre Lepoittevin,"In chemico methods, based on the assessment of hapten reactivity toward peptides, have been proposed as alternative methods for the assessment of the skin sensitizing potential of chemicals. However, even if these approaches seem very promising, a major drawback inherent to most in vitro methods is the poor water solubility of many organic molecules in aqueous media. Thus, semiorganic media based on buffer solutions and organic cosolvents such as ethanol or acetonitrile have been proposed, but a narrow equilibrium should be found between the peptide and chemical solubilities. Microemulsions have been shown to be very valuable when reacting a lipophilic organic compound soluble in hydrophobic media with a very hydrophilic organic substance insoluble in most organic solvents. However, the reaction rate between polar and apolar reactants can be influenced, in some cases, by the use of microemulsions. On the basis of NMR experiments, we have compared the reactivity of hydroxycitronellal 1 and citral 2, two weak fragrance sensitizers of major clinical relevance, toward glutathione used as a model nucleophile in a water/acetonitrile 2:1 mixture and in a microemulsion based on chloroform/water/tert-butanol/sodium dodecylsulphate. Hydroxycitronellal and citral were found to react with the thiol group of glutathione to form, in both media, identical adducts, but the observed reaction rates were found to be different. In the case of hydroxycitronellal, the observed reaction rate of glutathione addition on the aldehyde was found to be about three times higher in the microemulsion compared to the classical semiorganic mixture. In the case of citral, the situation was more complex as the Michael addition of glutathione on the conjugated double bond was found to be significantly faster in the classical semiorganic mixture, while the subsequent reaction of a second glutathione molecule on the aldehyde was found to be faster in the microemulsion. This chloroform/water/tert-butanol/sodium dodecylsulphate microemulsion, apparently of the bicontinuous type according to DOSY data, could be of potential interest for the in chemico evaluation of lipophilic chemicals toward peptides to solve solubility problems even if the impact on the chemical rate needs to be further investigated.",7,in_vitro,title_exact,mechanistic,safety_evidence,safety_evidence,75,0,candidate_unverified,none
79,1,magnesium_sulfate,마그네슘설페이트,Magnesium Sulfate,3837,PMID:29761729,29761729,10.1177/1091581818773355,Safety Assessment of Magnesium Sulfate as Used in Cosmetics.,International journal of toxicology,2018,"Journal Article; Research Support, Non-U.S. Gov't",Wilbur Johnson; Wilma F Bergfeld; Donald V Belsito; Ronald A Hill; Curtis D Klaassen; Daniel C Liebler; James G Marks; Ronald C Shank; Thomas J Slaga; Paul W Snyder; F Alan Andersen; Bart Heldreth,"The Cosmetic Ingredient Review Expert Panel (Panel) reviewed the safety of magnesium sulfate, which functions as a bulking agent in cosmetic products and is reportedly used at concentrations up to 11% and 25% in leave-on and rinse-off products, respectively. The Panel noted that the history of safe medical use of magnesium sulfate provides further confidence that there are no significant toxicity concerns relating to systemic exposure to this ingredient after cosmetic product application. Furthermore, the extensive clinical experience of the Panel, including the results of numerous patch tests, indicates that magnesium salts do not have the potential to induce sensitization. The Panel also noted that results were negative for 50% magnesium sulfate in a mouse skin irritation study and in an in vitro sensitization assay. The Panel concluded that magnesium sulfate is safe in cosmetics in the present practices of use and concentration described in the safety assessment.",6,animal,title_exact,mechanistic,safety_evidence|mechanism_evidence,safety_evidence,80,1,candidate_unverified,none
79,2,magnesium_sulfate,마그네슘설페이트,Magnesium Sulfate,3837,PMID:22310734,22310734,10.1007/s00403-012-1217-5,Magnesium sulfate protects fetal skin from intrauterine ischemia reperfusion injury.,Archives of dermatological research,2012-02-05,Journal Article,Asli F Kaptanoglu; Turkan Arca; Kamer Kilinc,"Intrauterine ischemia-reperfusion (I/R) injury in fetus occurs with multifactorial pathogenesis and results with multiorgan injury including skin. Magnesium has widespread use in obstetric practice. Inn addition to magnesium's tocolytic and neuroprotective properties, it also has free radical reducing effects. The aim of the present study was to demonstrate whether magnesium sulfate could have protective effect on fetal rat skin in intrauterine ischemia-reperfusion (I/R) injury. Fetal skin ischemia was induced by clamping the utero-ovarian arteries bilaterally for 30 min, and reperfusion was achieved by removing the clamps for 60 min in 19-day pregnant rats. Magnesium Sulfate (MgSO(4)) was given to pregnant rats 20 min before I/R injury at the dose of 600 mg/kg in magnesium treatment group. No ischemia reperfusion was applied to control and sham-operated groups. Lipid peroxidation from the skin tissues was determined as thiobarbituric acid reactive substances (TBARS). Myeloperoxidase (MPO) activity was determined for neutrophil activation. The results showed that the levels of TBARS and MPO increased significantly in the fetal rat skin after I/R injury compared to control group. Levels of TBARS and MPO were significantly lower than those of I/R group in Magnesium-treated group. In conclusion, intrauterine ischemia-reperfusion may produce considerable fetal skin injury. Increased TBARS and MPO activity can be inhibited by magnesium treatment. This suggests that magnesium treatment may have protective effect on fetal rat skin in intrauterine I/R injury.",6,animal,title_exact,mechanistic,mechanism_evidence,mechanism_evidence,55,1,candidate_unverified,none
83,1,coumarin,쿠마린,Coumarin,3628,PMID:10418958,10418958,10.1016/s0278-6915(99)00010-1,"Coumarin metabolism, toxicity and carcinogenicity: relevance for human risk assessment.",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,1999-Apr,Journal Article; Review,B G Lake,"The metabolism, toxicity and results of tests for carcinogenicity have been reviewed with respect to the safety for humans of coumarin present in foodstuffs and from fragrance use in cosmetic products. Coumarin is a natural product which exhibits marked species differences in both metabolism and toxicity. The majority of tests for mutagenic and genotoxic potential suggest that coumarin is not a genotoxic agent. The target organs for toxicity and carcinogenicity in the rat and mouse are primarily the liver and lung. Moreover, the dose-response relationships for coumarin-induced toxicity and carcinogenicity are non-linear, with tumour formation only being observed at high doses which are associated with hepatic and pulmonary toxicity. Other species, including the Syrian hamster, are seemingly resistant to coumarin-induced toxicity. There are marked differences in coumarin metabolism between susceptible rodent species and other species including humans. It appears that the 7-hydroxylation pathway of coumarin metabolism, the major pathway in most human subjects but only a minor pathway in the rat and mouse, is a detoxification pathway. In contrast, the major route of coumarin metabolism in the rat and mouse is by a 3,4-epoxidation pathway resulting in the formation of toxic metabolites. The maximum daily human exposure to coumarin from dietary sources for a 60-kg consumer has been estimated to be 0.02 mg/kg/day. From fragrance use in cosmetic products, coumarin exposure has been estimated to be 0.04 mg/kg/day. The total daily human exposure from dietary sources together with fragrance use in cosmetic products is thus 0.06 mg/kg/day. No adverse effects of coumarin have been reported in susceptible species in response to doses which are more than 100 times the maximum human daily intake. The mechanism of coumarin-induced tumour formation in rodents is associated with metabolism-mediated, toxicity and it is concluded that exposure to coumarin from food and/or cosmetic products poses no health risk to humans.",8,review_or_reference,title_exact,reference_only,safety_evidence,safety_evidence,65,0,candidate_unverified,none
84,1,octyldodecanol,옥틸도데칸올,Octyldodecanol,3622,PMID:40545374,40545374,10.1111/cod.14828,Allergic Contact Dermatitis to Octyldodecanol in a Men's Anti-Aging Cream: A Case Report.,Contact dermatitis,2025-06-22,Case Reports; Journal Article,Antoine Badaoui,,4,human_topical_observational_or_use_test,title_exact,human_topical,safety_evidence,safety_evidence,115,0,candidate_unverified,none
85,1,caffeine,카페인,Caffeine,3594,PMID:40820949,40820949,10.1111/jocd.70390,"A Novel Approach Against Male Pattern Hair Loss With Topical Dimethylglycine Sodium Salt (DMG-Na) and Caffeine: Efficacy of a 24-Week, Double-Blind, Randomized, Placebo-Controlled Trial.",Journal of cosmetic dermatology,2025-Aug,Journal Article; Randomized Controlled Trial,Leonardo Celleno; Carolina Bussoletti; Maria Vittoria Tolaini; Alfredo Rossi; Lorenzo Ala; Maike Becker; Jörn Michael Völker; Erik Schulze Zur Wiesche,"BACKGROUND: Male pattern hair loss is the most common form of hair loss in men, occurring in specific patterns. Contributing factors include hormonal changes, stress, malnutrition, and insufficient blood microcirculation. OBJECTIVE: Topical applied dimethylglycine sodium salt (DMG-Na) has been identified to increase skin microcirculation by activating endothelial nitric oxide synthase and inducing nitric oxide production. Given the importance of sufficient microcirculation on hair growth, the goal of this study was to evaluate the effectiveness of topically applied DMG-Na in combination with caffeine against male pattern hair loss. METHODS: A 24-week, double-blind, randomized, placebo-controlled trial was conducted on 154 men with male pattern hair loss, treated with a DMG-Na and caffeine-containing shampoo or the corresponding placebo. The primary efficacy parameter was the change in the number of hairs pulled via hair pull test from baseline to 6 months of daily product application. Clinical efficacy was further evaluated via phototrichogram analysis on a subgroup of 30 subjects. RESULTS: The decreased number of hairs pulled during the hair pull test after 6 months of active shampoo application was significantly higher compared to the placebo (-2.8 ± 1.6 vs. 0.6 ± 2.2; p < 0.001), with no reported adverse events. Phototrichogram results showed an increase in the number of hairs, hair density, and percentage of anagen hairs after 6 months of active shampoo usage (p < 0.001). CONCLUSION: The clinical efficacy of this novel DMG-Na and caffeine-containing shampoo demonstrates significant potential against male pattern hair loss, offering promising results without any undesirable side effects.",2,human_topical_rct,title_exact,combination_or_formulation,formulation_evidence,formulation_evidence,87,1,candidate_unverified,none
85,2,caffeine,카페인,Caffeine,3594,PMID:38099120,38099120,10.4103/ijd.ijd_166_22,"Caffeine in Skincare: Its Role in Skin Cancer, Sun Protection, and Cosmetics.",Indian journal of dermatology,2023,Journal Article,Marcus L Elias; Alexa F Israeli; Raman Madan,"Caffeine is ubiquitous in our society-not only in the drinks consumed but also increasingly in dermatologic topicals. Given that coffee and caffeine are increasingly used for the production of many dermatologic anti-cancer topicals, sunscreens, and cosmetics, it is of imperative importance to review the basic science and clinical evidence for such claims. In this concise review, we outline the current evidence.",8,review_or_reference,title_exact,reference_only,direct_effect|reference_evidence,direct_effect,77,1,candidate_unverified,none
87,1,titanium_dioxide,티타늄디옥사이드,Titanium Dioxide,3526,PMID:38133390,38133390,10.3390/toxics11120989,Titanium Dioxide (TiO2) Nanoparticle Toxicity in a Caenorhabditis elegans Model.,Toxics,2023-12-05,Journal Article,Sen-Ting Huang; Jian-He Lu; Sherwin M Jualo; Lemmuel L Tayo; Wan-Nurdiyana-Wan Mansor; Yi-Chieh Lai; Chih-Lung Wang; How-Ran Chao,"Titanium dioxide is a compound that is used in the food, cosmetic, and paint industries; however, it is still toxic to humans and the environment. This study determined the toxicities of titanium dioxide nanoparticles (TiO2 NPs) in a Caenorhabditis elegans (C. elegans) model. The effects of commercially available (C-TiO2) and synthetically (S-TiO2) prepared TiO2 NP solutions on lethality, lifespan, growth, reproduction, locomotion, and gene expression were studied in C. elegans. Exposure to TiO2 NPs (0.0, 0.01, 0.1, 1.0, and 10 mg/L) did not result in any change to the survival rate or body length of the nematodes, regardless of the concentration. However, there was a decrease in the reproduction (brood size) and locomotion (body bending and head thrashing) of the nematodes as the TiO2 NP concentration increased. The longevity of the nematodes was shortened following TiO2 NP exposure. The gene expression of sod-1, sod-3, ctl-1, ctl-2, cyp35A2, mlt-1, and mlt-2 in the nematodes showed that there was an overexpression of all genes when the worms were exposed to 1 mg/L C-TiO2 or 10 mg/L S-TiO2. It was therefore concluded that compared with S-TiO2, C-TiO2 possibly causes more toxicity or genotoxicity in the C. elegans model.",8,review_or_reference,title_exact,reference_only,safety_evidence,safety_evidence,65,0,candidate_unverified,none
88,1,sodium_phytate,소듐파이테이트,Sodium Phytate,3487,PMID:38105576,38105576,10.1177/19458924231220545,The Efficacy of Sodium Phytate as a Natural Chelating Agent in Reducing Elevated Calcium Levels in Nasal Mucus Among Individuals Experiencing Olfactory Dysfunction Following COVID-19: A Prospective Randomized Double-Controlled Clinical Trial.,American journal of rhinology & allergy,2023-12-17,Randomized Controlled Trial; Journal Article,Abdullah H Altemani; Mansuor A Alanazi; Assem H Altemani; Adnan Alharbi; Saud Alsahali; Nawaf M Alotaib; Mohamed H Abdelazim,"BACKGROUND: COVID-19 has been associated with olfactory disturbances in many infected patients. The increase in calcium levels in nasal secretions plays an essential role in the olfactory process with a desensitizing effect on olfactory receptor neurons and negative effects on odor transmission. Calcium chelating agents have the ability to bind calcium in nasal mucus and prevent the negative effects associated with calcium increase. OBJECTIVES: The aim of this work is to demonstrate the intra-nasal topical application of sodium phytate, an environmentally friendly, non-harmful calcium chelating agent, to reduce the adverse effects of calcium on olfactory function and improve olfactory dysfunction according to COVID-19. METHODS: Fifty-two patients with a previous COVID-19 and olfactory dysfunction lasting longer than 90 days were enrolled in a prospective, randomized, blinded, controlled clinical trial. Patients were divided into two equal groups: 26 patients received nasal spray containing 0.9% sodium chloride and 26 patients received nasal spray containing 1% sodium phytate. Olfactory function was measured before treatment and 1 month later using the Sniffin' Sticks test. Calcium content of nasal secretions was determined before and after treatment with an ion-selective electrode. RESULTS: A significant improvement from anosmia to hyposmia was demonstrated after the use of sodium phytate compared with no improvement after the use of sodium chloride. In addition, a decrease in the level of calcium in nasal secretions was observed after the use of sodium phytate. CONCLUSION: Sodium phytate has benefit role on improving the olfactory function after COVID-19.",2,human_topical_rct,title_exact,combination_or_formulation,formulation_evidence,formulation_evidence,87,0,candidate_unverified,none
89,1,benzyl_benzoate,벤질벤조에이트,Benzyl Benzoate,3475,PMID:17439567,17439567,10.1111/j.1471-0528.2007.01290.x,Safety of benzyl benzoate lotion and permethrin in pregnancy: a retrospective matched cohort study.,BJOG : an international journal of obstetrics and gynaecology,2007-May,"Journal Article; Research Support, Non-U.S. Gov't",O T Mytton; R McGready; S J Lee; C H Roberts; E A Ashley; V I Carrara; K L Thwai; M P Jay; T Wiangambun; P Singhasivanon; F Nosten,"OBJECTIVE: To assess the safety of benzyl benzoate lotion (BBL) and permethrin, topical treatments for scabies, during pregnancy. DESIGN: A retrospective controlled cohort study. POPULATION: Refugee and migrant women attending antenatal clinics (ANC) on the Thai-Burmese border between August 1993 and April 2006. METHODS: Women treated with either BBL (25%) or permethrin (4%) were identified from a manual search of antenatal records. Each case of scabies was matched with four scabies-free controls for gravidity, age, smoking status, malaria, period of treatment and gestational age at treatment. Conditional Poisson regression was used to estimate risk ratios for outcomes of pregnancy (proportion of abortions, congenital abnormalities, neonatal deaths, stillbirths and premature babies), mean birthweight and estimated median gestational age, for scabies and scabies-free women, independently for BBL and permethrin. RESULTS: There were no statistically significant differences in pregnancy outcomes between women who were treated with either BBL (n = 444) compared with their matched controls (n = 1,776) or permethrin (n = 196) treated women and their matched controls (n = 784). Overall, only 10.9% (n = 66) of treatments were in the first trimester. Retreatment rates were higher with BBL 16.4%, than permethrin 9.7%, P = 0.038. Scabies was more common during cooler periods. CONCLUSION: We found no evidence of adverse effects on pregnancy outcome due to topical 25% BBL or 4% permethrin.",3,human_topical_clinical,title_exact,human_topical,safety_evidence,safety_evidence,133,0,candidate_unverified,none
89,2,benzyl_benzoate,벤질벤조에이트,Benzyl Benzoate,3475,PMID:36142878,36142878,10.3390/ijms231810969,The Efficacy and Biopharmaceutical Properties of a Fixed-Dose Combination of Disulfiram and Benzyl Benzoate.,International journal of molecular sciences,2022-09-19,Journal Article,Maria Lajarin-Reinares; Elia Martinez-Esteve; Eloy Pena-Rodríguez; Mariona Cañellas-Santos; Sanja Bulut; Kostas Karabelas; Adam Clauss; Carles Nieto; Mireia Mallandrich; Francisco Fernandez-Campos,"Scabies and hair lice are parasitic diseases that affect human skin and hair, respectively. The incidence and resistances of these infections are increasing. Tenutex® (disulfiram and benzyl benzoate emulsion) is an alternative to standard insecticides to avoid resistances. The aim of the work is to evaluate the transdermal absorption and the in vitro efficacy against scabies and hair lice after different exposition times. Dermatomed human skin was used to assess the dermal absorption using a validated High Performance Liquid Chromatography (HPLC) method. HEK001 keratinocytes were used to evaluate the cytotoxicity of benzyl benzoate. Only benzyl benzoate was able to cross the skin, but it did not show cytotoxicity at any of the tested concentrations. The product efficacy was tested on Psoroptes ovis after direct contact and after administration on sheep skin explants at different contact times. Permethrin/malathion-resistant strains of Pediculus humanis capitis adults and eggs were directly exposed to Tenutex, and the vitality and hatchability, respectively, were evaluated. The anti-scabies study demonstrated that exposure for 6 or 24 h completely eradicated the parasite. The pediculicidal activity of Tenutex exhibited superior efficacy than standard treatment on resistant lice. The positive results obtained suggest that Tenutex® is a good treatment option, especially in drug resistance situations.",4,human_topical_observational_or_use_test,title_exact,combination_or_formulation,formulation_evidence,formulation_evidence,67,0,candidate_unverified,none
