portfolio_rank,selected_for_portfolio,ingredient_id,name_ko,name_en,product_count,current_runtime,effect_ids,best_evidence_tier,best_signal_score,best_relation_scope,best_applicability,best_pmid,best_title,evidence_component,product_component,function_component,portfolio_score,selection_reason,review_status,score_change
27,Y,licorice_extract,감초추출물,Licorice Extract,720,Y,effect_brightening|effect_calming,,0,,,,,0.0000,18.7011,20.0000,38.7011,existing_runtime,existing_runtime,none
28,Y,petrolatum_mineral_oil,페트롤라툼/미네랄오일,Petrolatum / Mineral Oil,607,Y,effect_calming|effect_moisture_barrier,,0,,,,,0.0000,18.2167,20.0000,38.2167,existing_runtime,existing_runtime,none
29,Y,tranexamic_acid,트라넥사믹애씨드,Tranexamic Acid,436,Y,effect_brightening,,0,,,,,0.0000,17.2782,20.0000,37.2782,existing_runtime,existing_runtime,none
30,Y,colloidal_oatmeal,콜로이달오트밀,Colloidal Oatmeal,270,Y,effect_calming|effect_moisture_barrier,,0,,,,,0.0000,15.9203,20.0000,35.9203,existing_runtime,existing_runtime,none
31,Y,arbutin,알부틴,Arbutin,251,Y,effect_brightening,,0,,,,,0.0000,15.7138,20.0000,35.7138,existing_runtime,existing_runtime,none
32,Y,retinal,레티날,Retinal,192,Y,effect_brightening|effect_exfoliation|effect_wrinkle,,0,,,,,0.0000,14.9557,20.0000,34.9557,existing_runtime,existing_runtime,none
33,Y,kojic_acid,코직애씨드,Kojic Acid,87,Y,effect_brightening,,0,,,,,0.0000,12.7239,20.0000,32.7239,existing_runtime,existing_runtime,none
34,Y,tea_tree,티트리,Tea Tree,27,Y,effect_acne_sebum,,0,,,,,0.0000,9.4696,20.0000,29.4696,existing_runtime,existing_runtime,none
35,Y,sodium_hyaluronate,소듐하이알루로네이트,Sodium Hyaluronate,4731,N,effect_moisture_barrier,2,95,title_exact,human_topical,41650338,Efficacy and Safety of Sodium Hyaluronate Gel for Facial Skin Rejuvenation.,47.5000,24.0479,20.0000,91.5479,paper_signal+product_usage+official_function,candidate_unverified,none
36,Y,sucrose,수크로오스,Sucrose,1520,N,effect_calming|effect_moisture_barrier,1,100,abstract_exact,human_topical,15495086,Pain relief for neonatal circumcision.,50.0000,20.8225,20.0000,90.8225,paper_signal+product_usage+official_function,candidate_unverified,none
37,Y,propylene_glycol,프로필렌글라이콜,Propylene Glycol,6174,N,effect_moisture_barrier,2,90,abstract_exact,human_topical,25305378,Influence of lidocaine hydrochloride and penetration enhancers on the barrier function of human skin.,45.0000,24.8043,20.0000,89.8043,paper_signal+product_usage+official_function,candidate_unverified,none
38,Y,menthol,멘톨,Menthol,1596,N,effect_calming,2,90,abstract_exact,human_topical,24746728,Clinical and mycological evaluation of an herbal antifungal formulation in canine Malassezia dermatitis.,45.0000,20.9611,20.0000,85.9611,paper_signal+product_usage+official_function,candidate_unverified,none
39,Y,sodium_phosphate,소듐포스페이트,Sodium Phosphate,1370,N,effect_acne_sebum,2,90,abstract_exact,human_topical,25749543,"An objective analysis of sebum, pH and moisture levels of the external ear canal skin.",45.0000,20.5274,20.0000,85.5274,paper_signal+product_usage+official_function,candidate_unverified,none
40,Y,tocopherol,토코페롤,Tocopherol,25877,N,effect_moisture_barrier,2,90,abstract_exact,human_topical,21822034,An encapsulated fruit and vegetable juice concentrate increases skin microcirculation in healthy women.,45.0000,28.8764,10.0000,83.8764,paper_signal+product_usage+official_function,candidate_unverified,none
41,Y,sea_water,해수,Sea Water,312,N,effect_moisture_barrier,2,95,title_exact,human_topical,11301639,Sea water or its components alter experimental irritant dermatitis in man.,47.5000,16.3298,20.0000,83.8298,paper_signal+product_usage+official_function,candidate_unverified,none
42,Y,glucose,글루코오스,Glucose,2086,N,effect_moisture_barrier,3,83,title_exact,human_topical,33108650,"A Prospective, Open-Label Short-Term Pilot Study on Modification of the Skin Hydration Status During Treatment With a Sodium-Glucose Cotransporter-2 Inhibitor.",41.5000,21.7216,20.0000,83.2216,paper_signal+product_usage+official_function,candidate_unverified,none
43,Y,lactic_acid,락틱애씨드,Lactic Acid,585,N,effect_moisture_barrier,2,90,abstract_exact,human_topical,40736038,Clinical Observation of a Novel Moisturizing Cream for Reducing Neurovascular Hyper-Reactivity in Sensitive Skin.,45.0000,18.1120,20.0000,83.1120,paper_signal+product_usage+official_function,candidate_unverified,none
44,Y,betaine,베타인,Betaine,4117,N,effect_moisture_barrier,3,78,abstract_exact,human_topical,10048655,Biophysical characterization of skin damage and recovery after exposure to different surfactants.,39.0000,23.6530,20.0000,82.6530,paper_signal+product_usage+official_function,candidate_unverified,none
45,Y,collagen,콜라겐,Collagen,430,N,effect_moisture_barrier,2,90,abstract_exact,human_topical,41052296,Topical Vitamin C in the Prevention and Treatment of Actinic Keratoses and Nonmelanoma Skin Cancers: A Systematic Scoping Review.,45.0000,17.2389,20.0000,82.2389,paper_signal+product_usage+official_function,candidate_unverified,none
46,Y,piroctone_olamine,피록톤올아민,Piroctone Olamine,337,N,effect_acne_sebum,2,90,abstract_exact,human_topical,29484095,"Cutaneous fungal microbiome: Malassezia yeasts in seborrheic dermatitis scalp in a randomized, comparative and therapeutic trial.",45.0000,16.5482,20.0000,81.5482,paper_signal+product_usage+official_function,candidate_unverified,none
47,Y,sulfur,황,Sulfur,41,N,effect_acne_sebum,1,100,title_exact,human_topical,33034949,"Evidence-based topical treatments (azelaic acid, salicylic acid, nicotinamide, sulfur, zinc, and fruit acid) for acne: an abridged version of a Cochrane systematic review.",50.0000,10.6219,20.0000,80.6219,paper_signal+product_usage+official_function,candidate_unverified,none
48,Y,ammonium_lactate,암모늄락테이트,Ammonium Lactate,57,N,effect_exfoliation|effect_moisture_barrier,2,95,title_exact,human_topical,11904326,A comparative study of lactic acid 10% and ammonium lactate 12% lotion in the treatment of foot xerosis.,47.5000,11.5391,20.0000,79.0391,paper_signal+product_usage+official_function,candidate_unverified,none
49,Y,hypericum_perforatum_extract,서양고추나물추출물,Hypericum Perforatum Extract,55,N,effect_calming|effect_moisture_barrier,2,95,title_exact,human_topical,10885442,Effect of topical application of Hypericum perforatum extract (St. John's wort) on skin sensitivity to solar simulated radiation.,47.5000,11.4394,20.0000,78.9394,paper_signal+product_usage+official_function,candidate_unverified,none
50,Y,ethoxydiglycol,에톡시다이글라이콜,Ethoxydiglycol,505,N,effect_moisture_barrier,3,78,abstract_exact,human_topical,29318715,Comparative evaluation of skin moisture after topical application of 10% and 30% lactobionic acid.,39.0000,17.6948,20.0000,76.6948,paper_signal+product_usage+official_function,candidate_unverified,none
51,Y,isopropyl_myristate,아이소프로필미리스테이트,Isopropyl Myristate,2061,N,effect_moisture_barrier,2,90,abstract_exact,human_topical,25305378,Influence of lidocaine hydrochloride and penetration enhancers on the barrier function of human skin.,45.0000,21.6873,10.0000,76.6873,paper_signal+product_usage+official_function,candidate_unverified,none
52,Y,isobutylamido_thiazolyl_resorcinol,아이소부틸아미도티아졸릴레조시놀,Isobutylamido Thiazolyl Resorcinol,23,N,effect_brightening,2,95,title_exact,human_topical,33988887,"Efficacy and safety of topical isobutylamido thiazolyl resorcinol (Thiamidol) vs. 4% hydroquinone cream for facial melasma: an evaluator-blinded, randomized controlled trial.",47.5000,9.0315,20.0000,76.5315,paper_signal+product_usage+official_function,candidate_unverified,none
53,Y,zinc_oxide,징크옥사이드,Zinc Oxide,750,N,effect_moisture_barrier,2,95,title_exact,human_topical,17128840,Comparison of dexpanthenol and zinc oxide ointment with ointment base in the treatment of irritant diaper dermatitis from diarrhea: a multicenter study.,47.5000,18.8170,10.0000,76.3170,paper_signal+product_usage+official_function,candidate_unverified,none
54,Y,rosmarinic_acid,로즈마리닉애씨드,Rosmarinic Acid,18,N,effect_calming,2,95,title_exact,human_topical,19239556,Effect of rosmarinic acid on atopic dermatitis.,47.5000,8.3676,20.0000,75.8676,paper_signal+product_usage+official_function,candidate_unverified,none
55,Y,isosorbide,아이소소바이드,Isosorbide,14,N,effect_moisture_barrier,2,95,title_exact,human_topical,33181142,Isosorbide Di-(Linoleate/Oleate) Stimulates Prodifferentiation Gene Expression to Restore the Epidermal Barrier and Improve Skin Hydration.,47.5000,7.6958,20.0000,75.1958,paper_signal+product_usage+official_function,candidate_unverified,none
56,Y,palmitic_acid,팔미틱애씨드,Palmitic Acid,1027,N,effect_moisture_barrier,2,90,abstract_exact,human_topical,26528587,Safety and efficacy of Sclerocarya birrea (A.Rich.) Hochst (Marula) oil: A clinical perspective.,45.0000,19.7092,10.0000,74.7092,paper_signal+product_usage+official_function,candidate_unverified,none
57,Y,cetearyl_alcohol,세테아릴알코올,Cetearyl Alcohol,8000,N,effect_moisture_barrier,3,78,abstract_exact,human_topical,17331708,An alkylpolyglucoside surfactant as a prospective pharmaceutical excipient for topical formulations: the influence of oil polarity on the colloidal structure and hydrocortisone in vitro/in vivo permeation.,39.0000,25.5405,10.0000,74.5405,paper_signal+product_usage+official_function,candidate_unverified,none
58,Y,methyl_nicotinate,메틸니코티네이트,Methyl Nicotinate,93,N,effect_calming,3,83,title_exact,human_topical,1742244,Cutaneous responses to topical methyl nicotinate in human forearm and vulvar skin.,41.5000,12.9113,20.0000,74.4113,paper_signal+product_usage+official_function,candidate_unverified,none
59,Y,butylene_glycol,부틸렌글라이콜,Butylene Glycol,26098,N,effect_moisture_barrier,3,51,abstract_exact,combination_or_formulation,39741562,The Role of Moisturizer Containing Anti-inflammatory on Skin Hydration in Mild-Moderate Atopic Dermatitis Patients.,25.5000,28.9005,20.0000,74.4005,paper_signal+product_usage+official_function,candidate_unverified,none
60,Y,sodium_bicarbonate,소듐바이카보네이트,Sodium Bicarbonate,344,N,effect_moisture_barrier,2,95,title_exact,human_topical,31077089,"Efficacy of a Topical Formulation of Sodium Bicarbonate in Mild to Moderate Stable Plaque Psoriasis: a Randomized, Blinded, Intrapatient, Controlled Study.",47.5000,16.6064,10.0000,74.1064,paper_signal+product_usage+official_function,candidate_unverified,none
61,Y,xylitol,자일리톨,Xylitol,1921,N,effect_acne_sebum|effect_moisture_barrier,4,65,title_exact,human_topical,34771112,Propanediol (and) Caprylic Acid (and) Xylitol as a New Single Topical Active Ingredient against Acne: In Vitro and In Vivo Efficacy Assays.,32.5000,21.4875,20.0000,73.9875,paper_signal+product_usage+official_function,candidate_unverified,none
62,Y,trehalose,트레할로오스,Trehalose,3069,N,effect_moisture_barrier,2,62,title_exact,combination_or_formulation,38606717,Functional properties and skin care effects of sodium trehalose sulfate.,31.0000,22.8184,20.0000,73.8184,paper_signal+product_usage+official_function,candidate_unverified,none
63,Y,mineral_oil,미네랄오일,Mineral Oil,292,N,effect_moisture_barrier,2,95,title_exact,human_topical,15724344,A randomized double-blind controlled trial comparing extra virgin coconut oil with mineral oil as a moisturizer for mild to moderate xerosis.,47.5000,16.1421,10.0000,73.6421,paper_signal+product_usage+official_function,candidate_unverified,none
64,Y,methyl_salicylate,메틸살리실레이트,Methyl Salicylate,45,N,effect_calming,3,83,title_exact,human_topical,36339533,Safety and efficacy of compound methyl salicylate liniment for topical pain: A multicenter real-world study in China.,41.5000,10.8804,20.0000,72.3804,paper_signal+product_usage+official_function,candidate_unverified,none
65,Y,petrolatum,페트롤라툼,Petrolatum,186,N,effect_moisture_barrier,2,95,title_exact,human_topical,28677237,"Superiority of a vitamin B12-barrier cream compared with standard glycerol-petrolatum-based emollient cream in the treatment of atopic dermatitis: A randomized, left-to-right comparative trial.",47.5000,14.8660,10.0000,72.3660,paper_signal+product_usage+official_function,candidate_unverified,none
66,Y,yeast_extract,효모추출물,Yeast Extract,369,N,effect_moisture_barrier,2,90,abstract_exact,human_topical,37763018,Effects of Investigational Moisturizers on the Skin Barrier and Microbiome following Exposure to Environmental Aggressors: A Randomized Clinical Trial and Ex Vivo Analysis.,45.0000,16.8052,10.0000,71.8052,paper_signal+product_usage+official_function,candidate_unverified,none
67,Y,saccharide_isomerate,사카라이드아이소머레이트,Saccharide Isomerate,1433,N,effect_moisture_barrier,2,62,title_exact,combination_or_formulation,35279940,Saccharide isomerate ameliorates cosmetic scalp conditions in a Chinese study population.,31.0000,20.6551,20.0000,71.6551,paper_signal+product_usage+official_function,candidate_unverified,none
68,Y,ethyl_linoleate,에틸리놀리에이트,Ethyl Linoleate,322,N,effect_moisture_barrier,2,90,abstract_exact,human_topical,33181142,Isosorbide Di-(Linoleate/Oleate) Stimulates Prodifferentiation Gene Expression to Restore the Epidermal Barrier and Improve Skin Hydration.,45.0000,16.4192,10.0000,71.4192,paper_signal+product_usage+official_function,candidate_unverified,none
69,Y,glycol,글라이콜,Glycol,76,N,effect_moisture_barrier,3,78,abstract_exact,human_topical,30055301,Topical delivery of climbazole to mammalian skin.,39.0000,12.3444,20.0000,71.3444,paper_signal+product_usage+official_function,candidate_unverified,none
70,Y,histidine,히스티딘,Histidine,1733,N,effect_moisture_barrier,4,60,abstract_exact,human_topical,21504444,Neonatal skin maturation--vernix caseosa and free amino acids.,30.0000,21.1950,20.0000,71.1950,paper_signal+product_usage+official_function,candidate_unverified,none
71,Y,squalene,스쿠알렌,Squalene,288,N,effect_moisture_barrier,2,90,abstract_exact,human_topical,32697858,Topical application of autophagy-activating peptide improved skin barrier function and reduced acne symptoms in acne-prone skin.,45.0000,16.1031,10.0000,71.1031,paper_signal+product_usage+official_function,candidate_unverified,none
72,Y,centella_asiatica_extract,병풀추출물,Centella Asiatica Extract,2328,N,effect_calming,2,58,abstract_exact,combination_or_formulation,40613435,Evaluation of the Efficacy and Safety of a Panthenol-Enriched Mask for Skin Barrier Recovery After Facial Laser Treatment: Results of a Double-Blind Randomized Controlled Study.,29.0000,22.0333,20.0000,71.0333,paper_signal+product_usage+official_function,candidate_unverified,none
73,Y,glutamic_acid,글루타믹애씨드,Glutamic Acid,1483,N,effect_moisture_barrier,4,60,abstract_exact,human_topical,21504444,Neonatal skin maturation--vernix caseosa and free amino acids.,30.0000,20.7525,20.0000,70.7525,paper_signal+product_usage+official_function,candidate_unverified,none
74,Y,jojoba_esters,호호바에스터,Jojoba Esters,1916,N,effect_calming|effect_moisture_barrier,2,58,abstract_exact,combination_or_formulation,19146603,Evaluation of additive effects of hydrolyzed jojoba (Simmondsia chinensis) esters and glycerol: a preliminary study.,29.0000,21.4801,20.0000,70.4801,paper_signal+product_usage+official_function,candidate_unverified,none
75,Y,linolenic_acid,리놀레닉애씨드,Linolenic Acid,87,N,effect_moisture_barrier,2,95,title_exact,human_topical,40754213,"The Effects of α-Linolenic Acid Intake on Skin and Blood Vessel Health and Subjective Fatigue in Middle-Aged Japanese Females: A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Comparative Trial.",47.5000,12.7239,10.0000,70.2239,paper_signal+product_usage+official_function,candidate_unverified,none
76,Y,hydrolyzed_collagen,하이드롤라이즈드콜라겐,Hydrolyzed Collagen,1691,N,effect_moisture_barrier,2,58,abstract_exact,combination_or_formulation,31221944,"Novel Hydrolyzed Chicken Sternal Cartilage Extract Improves Facial Epidermis and Connective Tissue in Healthy Adult Females: A Randomized, Double-Blind, Placebo-Controlled Trial.",29.0000,21.1253,20.0000,70.1253,paper_signal+product_usage+official_function,candidate_unverified,none
77,Y,oleic_acid,올레익애씨드,Oleic Acid,175,N,effect_moisture_barrier,2,90,abstract_exact,human_topical,26528587,Safety and efficacy of Sclerocarya birrea (A.Rich.) Hochst (Marula) oil: A clinical perspective.,45.0000,14.6937,10.0000,69.6937,paper_signal+product_usage+official_function,candidate_unverified,none
78,Y,linoleic_acid,리놀레익애씨드,Linoleic Acid,174,N,effect_moisture_barrier,2,90,abstract_exact,human_topical,32697858,Topical application of autophagy-activating peptide improved skin barrier function and reduced acne symptoms in acne-prone skin.,45.0000,14.6775,10.0000,69.6775,paper_signal+product_usage+official_function,candidate_unverified,none
79,Y,glyceryl_glucoside,글리세릴글루코사이드,Glyceryl Glucoside,651,N,effect_moisture_barrier,2,62,title_exact,combination_or_formulation,22584263,"Effects of glyceryl glucoside on AQP3 expression, barrier function and hydration of human skin.",31.0000,18.4152,20.0000,69.4152,paper_signal+product_usage+official_function,candidate_unverified,none
80,Y,lanolin,라놀린,Lanolin,143,N,effect_moisture_barrier,2,90,abstract_exact,human_topical,15781099,Effect of topical treatment with skin barrier-enhancing emollients on nosocomial infections in preterm infants in Bangladesh: a randomised controlled trial.,45.0000,14.1234,10.0000,69.1234,paper_signal+product_usage+official_function,candidate_unverified,none
81,Y,melanin,멜라닌,Melanin,133,N,effect_moisture_barrier,2,90,abstract_exact,human_topical,41630393,"Facial Skin Care Instruction by Medical Professionals Using Microneedle Cream: The 8-Week Prospective, Randomized, Single-Blinded for Examiners Trial in Asians.",45.0000,13.9189,10.0000,68.9189,paper_signal+product_usage+official_function,candidate_unverified,none
82,Y,isopropyl_palmitate,아이소프로필팔미테이트,Isopropyl Palmitate,942,N,effect_moisture_barrier,3,78,abstract_exact,human_topical,29318715,Comparative evaluation of skin moisture after topical application of 10% and 30% lactobionic acid.,39.0000,19.4639,10.0000,68.4639,paper_signal+product_usage+official_function,candidate_unverified,none
83,Y,mannose,만노오스,Mannose,221,N,effect_moisture_barrier,4,65,title_exact,human_topical,36994777,Role of Mannose-binding Lectin and Association with Microbial Sensitization in a Cohort of Patients with Atopic Dermatitis.,32.5000,15.3535,20.0000,67.8535,paper_signal+product_usage+official_function,candidate_unverified,none
84,Y,inositol,이노시톨,Inositol,487,N,effect_moisture_barrier,4,60,abstract_exact,human_topical,17313403,Mala s 12 is a major allergen in patients with atopic eczema and has sequence similarities to the GMC oxidoreductase family.,30.0000,17.5919,20.0000,67.5919,paper_signal+product_usage+official_function,candidate_unverified,none
85,Y,caprylic_capric_triglyceride,카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,13261,N,effect_moisture_barrier,4,60,abstract_exact,human_topical,27131753,Human skin penetration and local effects of topical nano zinc oxide after occlusion and barrier impairment.,30.0000,26.9766,10.0000,66.9766,paper_signal+product_usage+official_function,candidate_unverified,none
86,Y,resveratrol,레스베라트롤,Resveratrol,556,N,effect_moisture_barrier,3,78,abstract_exact,human_topical,32099438,"An Open-Label Single-Arm, Monocentric Study Assessing the Efficacy and Safety of Natural Pterostilbene (Pterocarpus marsupium) for Skin Brightening and Antiaging Effects.",39.0000,17.9677,10.0000,66.9677,paper_signal+product_usage+official_function,candidate_unverified,none
87,Y,alpha_arbutin,알파-알부틴,Alpha-Arbutin,205,N,effect_brightening,2,62,title_exact,combination_or_formulation,39555866,"The Efficacy of Topical Cosmetic Containing Alpha-Arbutin 5% and Kojic Acid 2% Compared With Triple Combination Cream for the Treatment of Melasma: A Split-Face, Evaluator-Blinded Randomized Pilot Study.",31.0000,15.1410,20.0000,66.1410,paper_signal+product_usage+official_function,candidate_unverified,none
88,Y,lecithin,레시틴,Lecithin,5969,N,effect_moisture_barrier,2,62,title_exact,combination_or_formulation,41987370,Shake-Induced Temporary Ion-Pairing Between Lecithin and Glycolic Acid for Enhanced Exfoliation in a Novel Biphasic Serum: Comparative Ex Vivo and in Vivo Randomised Studies.,31.0000,24.7084,10.0000,65.7084,paper_signal+product_usage+official_function,candidate_unverified,none
89,Y,zinc_chloride,징크클로라이드,Zinc Chloride,320,N,effect_calming,2,58,abstract_exact,combination_or_formulation,28250779,"A comparison of the effect of certain inorganic salts on suppression acute skin irritation by human biometric assay: A randomized, double-blind clinical trial.",29.0000,16.4015,20.0000,65.4015,paper_signal+product_usage+official_function,candidate_unverified,none
90,Y,cetyl_alcohol,세틸알코올,Cetyl Alcohol,5107,N,effect_moisture_barrier,4,60,abstract_exact,human_topical,18452435,Preparation and characterization of herbal creams for improvement of skin viscoelastic properties.,30.0000,24.2652,10.0000,64.2652,paper_signal+product_usage+official_function,candidate_unverified,none
91,Y,echinacea_purpurea_extract,자주천인국추출물,Echinacea Purpurea Extract,143,N,effect_moisture_barrier,4,60,abstract_exact,human_topical,20384903,Skin improvement and stability of Echinacea purpurea dermatological formulations.,30.0000,14.1234,20.0000,64.1234,paper_signal+product_usage+official_function,candidate_unverified,none
92,Y,honey,꿀,Honey,139,N,effect_moisture_barrier,4,60,abstract_exact,human_topical,18452435,Preparation and characterization of herbal creams for improvement of skin viscoelastic properties.,30.0000,14.0434,20.0000,64.0434,paper_signal+product_usage+official_function,candidate_unverified,none
93,Y,argania_spinosa_kernel_oil,아르간커넬오일,Argania Spinosa Kernel Oil,2310,N,effect_moisture_barrier,2,62,title_exact,combination_or_formulation,41134387,"Efficacy and safety of combination cream of stimu-tex AS™ (spent grain wax, Argania Spinosa Kernel oil, Butyrospermum Parkii (shea butter) extract), and saccharide isomerate after fractional CO2 laser procedure: split-face, double blinded, randomized controlled trial.",31.0000,22.0113,10.0000,63.0113,paper_signal+product_usage+official_function,candidate_unverified,none
94,Y,lactose,락토오스,Lactose,96,N,effect_moisture_barrier,4,60,abstract_exact,human_topical,23548340,Association between loss-of-function mutations in the filaggrin gene and self-reported food allergy and alcohol sensitivity.,30.0000,13.0006,20.0000,63.0006,paper_signal+product_usage+official_function,candidate_unverified,none
95,Y,sorbitol,솔비톨,Sorbitol,2180,N,effect_moisture_barrier,4,42,title_exact,combination_or_formulation,23752031,Effect of seasonal and geographical differences on skin and effect of treatment with an osmoprotectant: Sorbitol.,21.0000,21.8468,20.0000,62.8468,paper_signal+product_usage+official_function,candidate_unverified,none
96,Y,sodium_pca,소듐피씨에이,Sodium PCA,3194,N,effect_moisture_barrier,4,39,abstract_exact,combination_or_formulation,26596512,A pilot study investigating the efficacy of botanical anti-inflammatory agents in an OTC eczema therapy.,19.5000,22.9318,20.0000,62.4318,paper_signal+product_usage+official_function,candidate_unverified,none
97,Y,sea_salt,씨솔트,Sea Salt,203,N,effect_moisture_barrier,3,54,title_exact,combination_or_formulation,15689218,"Bathing in a magnesium-rich Dead Sea salt solution improves skin barrier function, enhances skin hydration, and reduces inflammation in atopic dry skin.",27.0000,15.1132,20.0000,62.1132,paper_signal+product_usage+official_function,candidate_unverified,none
98,Y,stearyl_glycyrrhetinate,스테아릴글리시레티네이트,Stearyl Glycyrrhetinate,205,N,effect_calming,3,51,abstract_exact,combination_or_formulation,32574015,Non-Steroidal Topical Therapy for Facial Seborrheic Dermatitis.,25.5000,15.1410,20.0000,60.6410,paper_signal+product_usage+official_function,candidate_unverified,none
