product_code,source_prefix,current_brand,product_name,suspected_brand,issue_type,recommended_action,confidence,note
cultbeauty_45935e8a0a7328,cultbeauty,PATRICK TA,111SKIN Y Theorem Repair Light Serum NAC Y2 (30ml),111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_a18a930706ca79,cultbeauty,Sisley Paris,111SKIN Repair Day Cream NAC Y2 50ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_07972957e35d9b,cultbeauty,Dr Dennis Gross,Clé de Peau Beauté Skin-Refining Clay Scrub 90ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_f05294c43f9bfa,cultbeauty,Emma Hardie,Clé de Peau Beauté Makeup Cleansing Towelettes,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_de32a59cb7e74f,cultbeauty,HUDA BEAUTY,Clé de Peau Beauté Advanced Intensive Night Cream - Refill,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_2907072551c719,cultbeauty,HUDA BEAUTY,Clé de Peau Beauté Cream Rouge Matte Lipstick 8ml (Various Shades) 111 Chocolate Cosmos,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_727b6832ca6f0e,cultbeauty,Hourglass,Clé de Peau Beauté Clarifying Cleansing Foam 125ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_a926d54c35b551,cultbeauty,Medik8,Clé de Peau Beauté Advanced Intensive Night Cream 50ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_e6a0e08af75f15,cultbeauty,NARS,Clé de Peau Beauté Brightening Serum Supreme 40ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_7910bb93ac92ac,cultbeauty,PATRICK TA,Clé de Peau Beauté Advanced Protective Cream - 50ml Refill,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_151ef0c83866b2,cultbeauty,PATRICK TA,Clé de Peau Beauté Eye Colour Quad (Various Options),Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_6913e3f43c0836,cultbeauty,PATRICK TA,Clé de Peau Beauté Lipstick 24 4g (Various Shades) 26 Violet Infusion,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_94e272d5092866,cultbeauty,PATRICK TA,Clé de Peau Beauté Lipstick Matte (Various Shades) 103 - Legend of Rouge,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_9aa5511913e030,cultbeauty,PATRICK TA,Clé de Peau Beauté Protective Day Emulsion 125ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_35898c119e17de,cultbeauty,Paula's Choice,Clé de Peau Beauté Hydro-Clarifying Essence Lotion 170ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_6bd0337ff78bbf,cultbeauty,Paula's Choice,Clé de Peau Beauté Hydro-Softening Essence Lotion,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_d5edb3f1e39f91,cultbeauty,Spectrum Collections,Clé de Peau Beauté The Sponge,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_2367bf80746bf5,cultbeauty,Surratt,Clé de Peau Beauté Radiant Multi Repair Oil Mini Set,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_22766dc85ff885,cultbeauty,The Ordinary,Clé de Peau Beauté Powder Puff,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_368cce545cf103,cultbeauty,Westman Atelier,Clé de Peau Beauté Lip Glorifier (Various Shades) Coral,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_1dd88d8d1fad3d,cultbeauty,HUDA BEAUTY,Dr Dennis Gross Derminfusions Lip Duo - Brown,Dr Dennis Gross,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_674dfe1aa7f54a,cultbeauty,HUDA BEAUTY,Dr Dennis Gross Eye Care Bundle,Dr Dennis Gross,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_71541198c8d64f,cultbeauty,HUDA BEAUTY,"Dr. Dennis Gross DermInfusions Lift and Repair Eye Mask, 1 Treatment",Dr Dennis Gross,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_8a0b50f07dee37,cultbeauty,PATRICK TA,Dr. Dennis Gross DermInfusions™ Lip Tints Berry Clear,Dr Dennis Gross,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_af0291f83d5069,cultbeauty,PATRICK TA,Dr. Dennis Gross DermInfusions™ Lip Tints Brown Clear,Dr Dennis Gross,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_63ab41f90e07f4,cultbeauty,Paula's Choice,Dr Dennis Gross All Physical Ultimate Defense SPF 50 Moisturiser 50ml,Dr Dennis Gross,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_a3c36ed8f3047f,cultbeauty,Summer Fridays,Dr. Dennis Gross DermInfusions™ Lip Tints Beige Clear,Dr Dennis Gross,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_9ad28deac69597,cultbeauty,Summer Fridays,Dr. Dennis Gross DermInfusions™ Lip Tints Pink Clear,Dr Dennis Gross,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_ea4e6e050bed07,cultbeauty,Omorovicza,Dr Dennis Gross Skincare Hyaluronic Marine Meltaway Cleanser 150ml,Dr. Dennis Gross Skincare,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_e1f578842a0f7f,cultbeauty,PATRICK TA,Dr Dennis Gross Skincare DermInfusions Plump + Repair Lip Treatment 4ml Clear,Dr. Dennis Gross Skincare,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_a1c5a43d27e8d2,cultbeauty,BYOMA,Numbuzin No.5 Vitamin Boosting Essential Toner 200ml,Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_a0bac82eac275a,cultbeauty,Beauty Of Joseon,Numbuzin No.3 Super Glowing Essence Toner 200ml,Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_c871dbf7baab84,cultbeauty,Beauty Of Joseon,Numbuzin No.9 NAD PDRN Glow Boosting Toner 150ml,Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_aa30dcd148cfa5,cultbeauty,Beauty of Joseon,Numbuzin No.1 Clear Filter Sun Essence SPF50+ PA++++ 50ml,Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_c4a62dacb03867,cultbeauty,Medicube,Numbuzin No.3 Radiance Glowing Jumbo Essence Pad 150ml (70 Pads),Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_4f237416d69431,cultbeauty,PATRICK TA,Numbuzin No.1 Centella Re-leaf Green Toner Pad 190ml (70 Pads),Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_084f0eafb56378,cultbeauty,PATRICK TA,Numbuzin No.1 Pantothenic B5 Active Cream 80ml,Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_c469411b123995,cultbeauty,PATRICK TA,Numbuzin No.1 Pantothenic B5 Active Soothing Serum 50ml,Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_f1a82ea8fe4d83,cultbeauty,PATRICK TA,Numbuzin No.3 Skin Softening Serum 50ml,Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_bfe6e3e1e3aa0d,cultbeauty,PATRICK TA,Numbuzin No.9 NAD Retinol Volumetox Eye Cream 10ml,Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_defc403e021cf2,lookfantastic,Aesop,111SKIN Celestial Black Diamond Brightening Essence 100ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_53b8edbe5611b0,lookfantastic,Aromatherapy Associates,111SKIN Celestial Black Diamond Body Cream 160ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_b2b8c9509cae7f,lookfantastic,Augustinus Bader,111SKIN Hyaluronic Acid Aqua Booster 20ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_a2e4ea98f8e532,lookfantastic,BEAUTYPRO,111SKIN Celestial Black Diamond Eye Mask (Various Options),111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_7beacbf9f07246,lookfantastic,BEAUTYPRO,111SKIN Cryo De-Puffing Eye Mask (Pack of 8),111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_d1b1b88a34d95e,lookfantastic,BEAUTYPRO,111SKIN Rose Gold Illuminating Eye Mask Box,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_c7b7e9eaf6ecd9,lookfantastic,Bioderma,111SKIN Repair Day Cream NAC Y2 50ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_f801fe0a409931,lookfantastic,Bondi Sands,111SKIN Dark Spot Correcting Serum 30ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_5021b398846899,lookfantastic,Carolina Herrera,111SKIN Cryo Revitalising Moisturiser 50ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_ff4d2e9aa4251b,lookfantastic,Color Wow,111SKIN Black Diamond Retinol Oil 30ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_52eb878d527aab,lookfantastic,Color Wow,111SKIN Repair Serum NAC Y2 30ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_060e5de0c01109,lookfantastic,Dr Dennis Gross,111SKIN Repair Serum NAC Y2 15ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_d11dd5623beb2a,lookfantastic,ESPA,111SKIN Rose Gold Radiance Booster Serum 20ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_4b789857633ba2,lookfantastic,Elemis,111SKIN Enzyme Exfoliating Cleanser 40g,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_504f48bcfabbe6,lookfantastic,ICONIC London,111SKIN Repair Night Cream 50ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_c0c361117f96af,lookfantastic,Issey Miyake,111SKIN Black Diamond Vitamin C Brightening Cleanser 55ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_d9f7ed9086887b,lookfantastic,La Roche-Posay,111SKIN Anti Blemish Booster Serum 20ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_dba5d07aa79753,lookfantastic,La Roche-Posay,111SKIN Black Diamond Contour Gel 15ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_1671a6ef0ec6bf,lookfantastic,Medik8,111SKIN Antioxidant Essence 100ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_77b3bd53b51472,lookfantastic,Medik8,111SKIN Black Diamond Cream 50ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_cda58201dfe894,lookfantastic,Medik8,111SKIN Black Diamond Eye Cream 15ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_0f7e775a2c5beb,lookfantastic,Medik8,111SKIN Black Diamond Vitamin-C Booster Serum 20ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_1cd63f19a5c3ba,lookfantastic,Medik8,111SKIN Vitamin C Brightening Booster 20ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_51dcafc3669411,lookfantastic,NARS,111SKIN Y Theorem Repair Light Serum NAC Y2 (30ml),111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_a7c1ae1482fd20,lookfantastic,NUXE,111SKIN Rose Gold Radiance Body Oil 100ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_d5b25ebc1327b6,lookfantastic,NYX Professional Makeup,111SKIN Radiance Glow Face Mist 100ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_bab2a3373bf3af,lookfantastic,Perricone MD,111SKIN Repair Day Cream - Light 50ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_9b73bc30dbb758,lookfantastic,Philip Kingsley,111SKIN Black Diamond Serum 30ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_70893605341bb5,lookfantastic,Redken,111SKIN Intensive Contour Firming Mask 75ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_2973f75ddd1ef1,lookfantastic,SkinCeuticals,111SKIN Repair Sunscreen SPF 50+ 50ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_f6801d42f8ddb3,lookfantastic,SkinCeuticals,111SKIN The Firming Concentrate Serum 7 x 2ml,111SKIN,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_540aa4fe84ebfe,lookfantastic,Aesop,Clé de Peau Beauté Protective Day Emulsion 125ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_28031d9006ca91,lookfantastic,Bobbi Brown,Clé de Peau Beauté Clarifying Cleansing Foam 125ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_22dbcf549bbbe2,lookfantastic,Clinique,Clé de Peau Beauté Lipstick Matte (Various Shades) 103 - Legend of Rouge,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_ed985e29854c6f,lookfantastic,Clinique,Clé de Peau Beauté Solo Colour Eye Shadow 4g (Various Shades) Sunkissed Coral,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_7e7b05d373caaa,lookfantastic,Elizabeth Arden,Clé de Peau Beauté Brightening Serum Supreme 40ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_f827649ffa5d7f,lookfantastic,Embryolisse,Clé de Peau Beauté Hydro-Clarifying Essence Lotion 170ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_1658a34fa7eb59,lookfantastic,Estée Lauder,Clé de Peau Beauté Hydro-Softening Essence Lotion,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_7d86a4e18f3f33,lookfantastic,Estée Lauder,Clé de Peau Beauté Powder Puff,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_b22070898346a6,lookfantastic,Eve Lom,Clé de Peau Beauté Softening Cleansing Foam,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_0f2f7d109a5747,lookfantastic,GUERLAIN,Clé de Peau Beauté Advanced Protective Cream 50ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_040c69eb745ac2,lookfantastic,Kerastase,Clé De Peau Beauté Radiant Cushion Foundation Case,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_05919d7667f668,lookfantastic,Kerastase,Clé de Peau Beauté Cleansing Oil 200ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_b91aee043c1287,lookfantastic,Kerastase,Clé de Peau Beauté Cream Rouge Matte Lipstick 8ml (Various Shades) 111 Chocolate Cosmos,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_2709cef7aac909,lookfantastic,Kerastase,Clé de Peau Beauté Lipstick 4g (Various Shades),Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_3a50bdea0eab59,lookfantastic,Kiehl's Since 1851,Clé de Peau Beauté Exclusive UV Protective Cream SPF 50 50ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_53d829f0f858b3,lookfantastic,MAC,Clé de Peau Beauté Exclusive Protective Lip Treatment SPF 30 4g,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_2cb89781cc86ed,lookfantastic,Moroccanoil,Clé de Peau Beauté Advanced Intensive Night Cream 50ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_ed351d8623afcb,lookfantastic,NARS,Clé de Peau Beauté Radiant Fluid Foundation Natural (Various Shades) B00,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_9b16209762013a,lookfantastic,NARS,Clé de Peau Beauté The Sponge,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_957b9de10ad3a6,lookfantastic,PIXI,Clé de Peau Beauté Skin-Refining Clay Scrub 90ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_46f2ec9c655c98,lookfantastic,PIXI,Clé de Peau Beauté Vitality-Enhancing Eye Mask Supreme,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_ec38798434f04f,lookfantastic,Shiseido,Clé de Peau Beauté Advanced Protective Cream - 50ml Refill,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_3c2b5a92fb3000,lookfantastic,The Ordinary,Clé de Peau Beauté Advanced Intensive Night Cream - Refill,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_901a375043bcec,lookfantastic,The Ordinary,Clé de Peau Beauté Precious Gold Vitality Serum 119ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_af87f727e5ef4b,lookfantastic,Vichy,Clé de Peau Beauté Intensive Night Emulsion 125ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_262f818a21c532,lookfantastic,lookfantastic Beauty Box,Clé de Peau Beauté x Look Fantastic The Radiance Discovery Set,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_e55090c877bad9,lookfantastic,Kate Somerville,Dr. Dennis Gross DermInfusions™ Lip Tints Beige Clear,Dr Dennis Gross,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_d857a013ee590e,lookfantastic,La Roche-Posay,Dr Dennis Gross Alpha Beta On The Spot Gel 30ml,Dr Dennis Gross,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_e235dc30221fcc,lookfantastic,MAKE UP FOR EVER,Dr. Dennis Gross DermInfusions™ Lip Tints Brown Clear,Dr Dennis Gross,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_ab8813239e0c7f,lookfantastic,Medik8,Dr Dennis Gross Vitamin C and Lactic 15% Vitamin C Firm and Bright Serum 30ml,Dr Dennis Gross,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_83f6d661395cd3,lookfantastic,Estée Lauder,Dr Dennis Gross Skincare Vitamin C Lactic Creamy Cleansing Oil 177ml,Dr. Dennis Gross Skincare,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_cefe155a4d1e4a,lookfantastic,NARS,Dr Dennis Gross Skincare Alpha Beta Extra Strength Daily Peel (Pack of 5),Dr. Dennis Gross Skincare,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_5dd6f3a3f0150b,lookfantastic,Regaine,Dr Dennis Gross Skincare DermInfusions Plump + Repair Lip Treatment 4ml Clear,Dr. Dennis Gross Skincare,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_70936bd29503e2,lookfantastic,The Ordinary,Dr Dennis Gross Skincare Hyaluronic Marine Hydration Booster 30ml,Dr. Dennis Gross Skincare,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_5165e25cddd40e,lookfantastic,Beauty Of Joseon,Numbuzin No.5 Vitamin Boosting Essential Toner 200ml,Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_d849a9af4b76ca,lookfantastic,Beauty of Joseon,Numbuzin No.3 Super Glowing Essence Toner 200ml,Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_de9a522b714c65,lookfantastic,Beauty of Joseon,Numbuzin No.9 NAD PDRN Glow Boosting Toner 150ml,Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_5ec879fbc7dfac,lookfantastic,Beauty of Joseon,Numbuzin No.9 NAD Retinol Volumetox Eye Cream 10ml,Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_c4a6f440d0c9fd,lookfantastic,COSRX,Numbuzin No.1 Centella Re-leaf Green Toner Pad 190ml (70 Pads),Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_f075ed016188c7,lookfantastic,Medik8,Numbuzin No.1 Pantothenic B5 Active Cream 80ml,Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_77e6be8fdf320b,lookfantastic,NYX Professional Makeup,Numbuzin No.3 Radiance Glowing Jumbo Essence Pad 150ml (70 Pads),Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_882ce8ce2b202b,lookfantastic,The Ordinary,Numbuzin No.1 Pantothenic B5 Active Soothing Serum 50ml,Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_f77fe5a0ed0731,lookfantastic,The Ordinary,Numbuzin No.3 Skin Softening Serum 50ml,Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
lookfantastic_3e4f230ae12ade,lookfantastic,Vichy,Numbuzin No.5 Vitamin Serum 30ml,Numbuzin,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
prod_oy_a000000165751,oliveyoung,넘버즈인,[1+1] 넘버즈인 2번 딥클린 생크림 클렌징폼 1+1 기획 (120ml+120ml),Numbuzin,brand_alias_candidate,add_brand_alias,0.90,known alias group: Numbuzin | 넘버즈인
prod_oy_a000000227244,oliveyoung,넘버즈인,[10ml 소용량] 넘버즈인 4번 세라 필 깐달걀 세럼 소용량 10ml (1ml*10개),Numbuzin,brand_alias_candidate,add_brand_alias,0.90,known alias group: Numbuzin | 넘버즈인
prod_oy_a000000205979,oliveyoung,넘버즈인,[10매] 넘버즈인 1번~5번 마스크팩 10매 기획 5종 중 택 1,Numbuzin,brand_alias_candidate,add_brand_alias,0.90,known alias group: Numbuzin | 넘버즈인
prod_oy_a000000160901,oliveyoung,넘버즈인,[1매] 넘버즈인 1번~5번 마스크팩 5종 중 택 1,Numbuzin,brand_alias_candidate,add_brand_alias,0.90,known alias group: Numbuzin | 넘버즈인
prod_oy_a000000166626,oliveyoung,넘버즈인,[1번팩2매추가증정/5매] 넘버즈인 1번~5번 마스크팩 5매 기획 5종 중 택 1,Numbuzin,brand_alias_candidate,add_brand_alias,0.90,known alias group: Numbuzin | 넘버즈인
prod_oy_a000000257072,oliveyoung,넘버즈인,[NEW/화잘먹] 넘버즈인 3번 매끈결 PHA 프렙 버블팩 90ml,Numbuzin,brand_alias_candidate,add_brand_alias,0.90,known alias group: Numbuzin | 넘버즈인
